Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
1134	-1407.278	-1491.834	84.55553	1.325247	0.5701547	0.544161	0.455839	0.6083032
1140	-1413.584	-1498.266	84.68157	1.325247	0.4731038	0.503841	0.496159	0.6762211
1146	-1412.23	-1496.998	84.76808	1.138375	0.4554964	0.503841	0.496159	0.8646033
1152	-1410.409	-1494.925	84.51581	1.138375	0.6821379	0.503841	0.496159	0.7415666
1158	-1412.136	-1496.95	84.81389	1.138375	0.483811	0.481954	0.518046	0.7382519
1164	-1412.105	-1496.697	84.59245	1.280463	0.5647886	0.456857	0.543143	0.6475726
1170	-1409.028	-1493.551	84.52316	1.280463	0.6229421	0.512767	0.487233	0.6084665
1176	-1415.075	-1499.558	84.48366	1.15887	0.6506575	0.551711	0.448289	0.8171475
1182	-1420.755	-1505.418	84.66283	1.15887	0.5445042	0.654282	0.345718	0.7849932
1188	-1414.965	-1499.636	84.6703	1.242364	0.5342095	0.408265	0.591735	0.6635323
1194	-1415.106	-1499.748	84.64133	1.10146	0.6179274	0.515882	0.484118	0.7409179
1200	-1403.754	-1488.316	84.5618	1.242128	0.600415	0.473394	0.526606	0.6801594
1206	-1404.334	-1489.132	84.79741	1.253168	0.4469463	0.473394	0.526606	0.6801594
1212	-1415.013	-1499.769	84.75606	0.9590554	0.5275573	0.511461	0.488539	0.9436921
1218	-1414.353	-1498.973	84.61912	0.9544258	0.5364782	0.438721	0.561279	1.070418
1224	-1413.73	-1498.012	84.2824	0.8031751	0.6029481	0.438721	0.561279	1.397585
1230	-1410.689	-1494.939	84.2502	0.6268673	0.7022264	0.433463	0.566537	1.453392
1236	-1413.557	-1498.191	84.63392	0.7188074	0.462968	0.445882	0.554118	1.362213
1242	-1406.083	-1490.265	84.18254	0.4664471	0.6430042	0.504481	0.495519	1.679364
1248	-1410.323	-1494.488	84.16426	0.5022739	0.6116309	0.519361	0.480639	1.698289
1254	-1405.348	-1489.424	84.07677	0.4128032	0.7442643	0.516616	0.483384	1.698289
