Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
1206	-636.6996	-801.5974	164.8978	3.189293	4.440496	1.956383
1212	-629.3415	-793.368	164.0265	4.018677	5.152214	1.704175
1218	-634.399	-799.322	164.923	3.64507	4.484275	1.704175
1224	-633.2661	-798.866	165.5998	2.947846	3.881994	1.972086
1230	-628.5863	-792.8301	164.2438	4.049545	3.944655	2.351069
1236	-644.9852	-809.5765	164.5913	3.515708	4.346478	2.079591
1242	-644.4387	-807.686	163.2473	4.317281	6.037958	1.500212
1248	-645.7418	-809.7604	164.0185	3.836126	5.299679	1.683331
1254	-639.9191	-803.609	163.6899	4.22228	5.1958	1.825367
1260	-637.2966	-799.577	162.2804	5.984109	6.108847	1.529097
1266	-632.3012	-795.4941	163.193	3.677082	6.435981	1.529097
1272	-631.6587	-795.6452	163.9866	4.225464	5.012158	1.74558
1278	-645.3907	-808.9416	163.5508	5.394213	5.012158	1.610059
1284	-651.6536	-814.9715	163.3179	4.016862	5.951594	1.640195
1290	-637.3035	-802.4644	165.1609	3.181765	3.788013	2.215938
1296	-628.3307	-793.3356	165.005	3.423951	4.024132	2.058509
1302	-647.1162	-812.3093	165.1931	2.975836	3.967679	2.170742
1308	-642.4981	-808.1669	165.6689	3.278774	3.316178	2.150167
1314	-643.8581	-808.4981	164.64	3.792904	3.743709	2.325358
1320	-636.5662	-800.6315	164.0652	3.147044	5.450507	1.855573
1326	-633.3461	-798.4592	165.1131	2.536454	4.572702	2.037039
1332	-634.425	-798.8328	164.4078	4.645205	3.971634	2.007221
1338	-632.9055	-798.0109	165.1054	2.995561	4.408112	1.928218
1344	-654.276	-819.0309	164.755	3.152018	4.605718	1.958354
1350	-643.3045	-807.1236	163.8191	3.260067	4.794365	2.396419
1356	-642.7456	-807.5445	164.7989	2.46489	4.385532	2.396419
1362	-640.1687	-804.8705	164.7018	4.193655	4.101561	1.892989
1368	-632.5745	-797.0911	164.5166	3.312574	3.634057	2.663093
1374	-636.7895	-801.1534	164.364	3.312574	4.124663	2.453007
1380	-634.1682	-798.5776	164.4094	4.064508	4.212715	2.064915
1386	-647.0687	-811.349	164.2803	4.28976	4.015365	2.192604
1392	-641.0929	-805.7361	164.6433	4.014367	4.150093	1.970848
1398	-642.1309	-806.0519	163.921	4.516358	4.969694	1.705677
1404	-642.0213	-807.0717	165.0504	2.558086	4.836515	1.891115
1410	-634.5243	-799.2961	164.7718	2.800662	4.836515	1.957875
1416	-640.1499	-803.965	163.8151	4.148942	4.918252	1.957875
1422	-642.0107	-804.4365	162.4258	4.148942	6.705034	1.683675
1428	-635.2491	-799.6218	164.3727	4.164101	4.187862	2.066983
1434	-639.178	-802.5298	163.3518	4.763473	5.007567	1.977827
