Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
1338	-93.83117	-264.0306	170.1994	3.144602	0.9871741
1344	-85.8482	-256.5195	170.6713	2.494333	1.154773
1350	-89.32034	-260.1849	170.8645	2.113012	1.313042
1356	-82.46197	-253.2225	170.7606	2.133277	1.379631
1362	-80.75209	-251.2811	170.529	1.576469	1.945701
1368	-85.31965	-256.6024	171.2827	1.411882	1.531439
1374	-95.64587	-266.4631	170.8172	2.140834	1.328725
1380	-102.91	-273.4915	170.5815	2.298514	1.390479
1386	-93.38786	-263.8133	170.4254	1.847093	1.832122
1392	-91.85869	-263.0026	171.144	1.994019	1.178974
1398	-94.87068	-265.4118	170.5412	2.820943	0.9686872
1404	-93.33801	-263.9513	170.6133	2.623195	1.090874
1410	-89.47208	-260.2152	170.7431	2.493383	1.090874
1416	-93.16763	-263.1892	170.0216	3.37677	0.9303513
1422	-95.63593	-266.1954	170.5594	2.13946	1.528252
1428	-94.71693	-265.7019	170.985	1.713905	1.528252
1434	-96.63358	-266.9479	170.3143	2.849463	1.156425
1440	-91.46346	-262.2675	170.8041	1.909298	1.517469
1446	-99.65621	-270.4603	170.8041	1.909298	1.517469
1452	-92.10914	-262.5001	170.391	2.053258	1.712508
1458	-92.23287	-262.3693	170.1365	3.155487	1.038595
1464	-97.69846	-268.7963	171.0979	1.919331	1.280763
1470	-99.17726	-269.9617	170.7845	1.54116	1.795469
1476	-84.43857	-255.6727	171.2341	1.622518	1.408629
1482	-94.42122	-264.8215	170.4002	2.75738	1.161829
1488	-102.1974	-272.6886	170.4912	3.068986	0.7242216
1494	-92.36795	-262.4471	170.0791	2.802598	1.389123
1500	-91.19306	-261.4724	170.2793	2.880349	1.160026
1506	-91.57792	-262.3326	170.7547	2.332998	1.222052
1512	-101.5535	-271.2561	169.7026	2.356466	1.976889
1518	-92.02001	-262.807	170.787	1.798794	1.611264
1524	-105.572	-276.9077	171.3357	1.788299	1.191091
1530	-92.89705	-263.1491	170.2521	3.190271	0.8812507
1536	-97.03846	-267.7555	170.717	2.725342	0.8812507
1542	-89.03227	-259.6627	170.6304	2.648896	1.050694
1548	-100.8169	-271.8297	171.0127	2.559538	0.7040627
1554	-93.3167	-264.3289	171.0122	2.357155	0.9611121
