Iteration	Posterior	Likelihood	Prior	tree_length
1914	-1428.084	-1596.077	167.9938	4.410743
1920	-1429.802	-1597.272	167.47	4.704976
1926	-1434.4	-1601.121	166.7202	5.122364
1932	-1439.969	-1606.354	166.3843	5.308095
1938	-1437.801	-1604.313	166.5126	5.237254
1944	-1432.456	-1599.552	167.0962	4.913543
1950	-1427.919	-1594.54	166.6204	5.177597
1956	-1439.668	-1607.173	167.5048	4.685493
1962	-1428.809	-1596.564	167.7551	4.545124
1968	-1440.395	-1607.736	167.3409	4.777091
1974	-1429.711	-1597.224	167.5122	4.681338
1980	-1440.046	-1607.668	167.6218	4.619927
1986	-1449.671	-1617.301	167.6308	4.614858
1992	-1440.375	-1607.857	167.4813	4.698614
1998	-1442.032	-1609.459	167.4268	4.729129
2004	-1441.027	-1608.246	167.2183	4.845532
2010	-1445.872	-1612.824	166.952	4.993707
2016	-1443.861	-1611.567	167.706	4.57272
2022	-1434.928	-1602.143	167.2156	4.847048
2028	-1444.116	-1611.341	167.2249	4.841824
2034	-1459.178	-1626.37	167.1917	4.860368
2040	-1443.22	-1610.887	167.6669	4.594662
2046	-1443.507	-1610.661	167.1538	4.881442
2052	-1442.377	-1610.483	168.1061	4.347376
2058	-1442.018	-1609.478	167.4594	4.710891
2064	-1435.712	-1603.551	167.839	4.49796
2070	-1435.177	-1602.337	167.1593	4.878383
2076	-1434.133	-1600.985	166.8519	5.04931
2082	-1422.974	-1590.275	167.3006	4.799588
2088	-1420.973	-1587.962	166.9888	4.973296
2094	-1425.32	-1592.309	166.9888	4.973296
2100	-1415.831	-1583.484	167.6528	4.602541
2106	-1428.205	-1595.344	167.1395	4.889442
2112	-1421.882	-1589.598	167.7157	4.567247
2118	-1430.071	-1596.93	166.8591	5.045341
2124	-1437.416	-1604.875	167.4588	4.71119
2130	-1444.716	-1611.631	166.9153	5.014131
2136	-1435.397	-1602.387	166.9906	4.972301
2142	-1426.062	-1593.616	167.5537	4.658118
2148	-1438.48	-1606.233	167.7532	4.546182
2154	-1441.941	-1607.549	165.6089	5.734429
2160	-1443.222	-1608.999	165.7777	5.641912
2166	-1446.694	-1614.802	168.1072	4.346749
2172	-1439.765	-1606.423	166.6583	5.156649
2178	-1434.212	-1601.509	167.2976	4.801265
2184	-1446.698	-1613.753	167.0553	4.936272
2190	-1448.265	-1615.936	167.6708	4.592451
2196	-1437.611	-1605.038	167.4277	4.728585
2202	-1441.255	-1608.888	167.6332	4.613526
2208	-1428.768	-1596.001	167.2325	4.837596
2214	-1431.023	-1598.112	167.0895	4.917258
2220	-1440.131	-1607.118	166.9869	4.974356
2226	-1434.176	-1601.163	166.9869	4.974356
2232	-1432.835	-1600.429	167.5939	4.635584
2238	-1444.019	-1610.21	166.1909	5.414742
2244	-1449.979	-1616.601	166.6217	5.176911
2250	-1433.361	-1600.843	167.4824	4.69801
2256	-1441.187	-1607.784	166.5962	5.190989
2262	-1446.904	-1614.422	167.518	4.678078
2268	-1441.926	-1609.685	167.7584	4.543272
2274	-1432.654	-1599.381	166.7269	5.11862
2280	-1430.223	-1597.82	167.5966	4.634043
2286	-1433.203	-1600.709	167.5061	4.684734
2292	-1432.635	-1599.375	166.7403	5.111234
2298	-1440.795	-1608.063	167.2678	4.817907
2304	-1441.808	-1608.538	166.73	5.116904
2310	-1444.678	-1611.757	167.0787	4.923301
2316	-1444.952	-1611.445	166.4928	5.248192
2322	-1436.637	-1604.589	167.952	4.43433
2328	-1440.661	-1607.95	167.2889	4.80612
2334	-1453.763	-1620	166.2365	5.389622
2340	-1446.731	-1614.079	167.3484	4.772934
2346	-1450.074	-1616.811	166.7367	5.113188
2352	-1440.914	-1608.692	167.7782	4.532124
2358	-1450.441	-1616.967	166.5258	5.229958
2364	-1436.275	-1603.238	166.9635	4.987342
2370	-1442.221	-1609.799	167.5783	4.644334
2376	-1450.494	-1618.066	167.5717	4.648025
2382	-1447.035	-1614.544	167.5084	4.683441
2388	-1458.971	-1626.242	167.2709	4.816163
2394	-1455.294	-1621.953	166.6592	5.156135
2400	-1454.977	-1623.045	168.0682	4.36879
2406	-1456.029	-1623.218	167.189	4.861853
2412	-1448.034	-1615.505	167.4712	4.7043
2418	-1447.576	-1615.417	167.8411	4.496769
2424	-1445.961	-1612.199	166.2376	5.388997
2430	-1444.908	-1612.586	167.678	4.588387
2436	-1442.35	-1610.052	167.7018	4.575075
2442	-1446.037	-1612.932	166.8951	5.025356
2448	-1433.807	-1601.623	167.8169	4.510383
2454	-1434.271	-1601.383	167.1122	4.904637
2460	-1434.312	-1601.898	167.5863	4.639832
2466	-1433.33	-1600.418	167.088	4.918105
2472	-1436.743	-1604.493	167.7503	4.547788
2478	-1433.521	-1601.222	167.7011	4.57546
2484	-1453.938	-1620.054	166.1163	5.455853
2490	-1430.953	-1598.054	167.1013	4.910691
2496	-1438.35	-1605.451	167.1013	4.910691
2502	-1429.201	-1596.302	167.1013	4.910691
2508	-1436.259	-1603.936	167.6769	4.589006
2514	-1441.068	-1608.745	167.6769	4.589006
2520	-1437.856	-1605.55	167.6942	4.579343
2526	-1433.752	-1600.141	166.3886	5.30575
2532	-1449.918	-1615.768	165.8506	5.601906
2538	-1441.553	-1608.679	167.1265	4.896657
2544	-1430.342	-1597.302	166.9597	4.989476
2550	-1431.682	-1598.671	166.9895	4.97289
2556	-1436.685	-1602.725	166.0393	5.498212
2562	-1426.256	-1593.16	166.9044	5.020147
2568	-1428.181	-1594.815	166.6343	5.169933
2574	-1418.602	-1584.821	166.2182	5.399709
2580	-1422.142	-1588.963	166.8212	5.066363
2586	-1423.17	-1590.426	167.2561	4.824436
2592	-1429.27	-1596.392	167.1219	4.899219
