Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
1044	-1761.977	-1925.844	163.8672	1.52944	0.8822423	0.6247296	1.069841	1.01446	0.4265431	5.698375	1.172895
1050	-1756.292	-1921.643	165.3512	1.405802	1.314219	0.7119886	0.7470425	0.7405728	0.7979531	3.55199	1.559945
1056	-1756.852	-1922.348	165.496	1.627322	0.536109	0.6609956	0.7470425	0.8568647	0.7698202	3.90285	1.559945
1062	-1767.76	-1930.005	162.2443	1.049728	1.137996	0.8768121	0.7468063	1.221351	0.7908574	6.846094	1.327398
1068	-1769.782	-1933.272	163.4909	1.342516	1.217707	0.8045725	0.4517888	0.7435986	0.807828	6.228597	1.18791
1074	-1773.331	-1940.836	167.5056	1.50808	0.8737323	0.9592155	0.4599558	2.303306	0.4473419	0.3204562	1.735689
1080	-1771.938	-1937.982	166.0436	1.334038	0.8968166	0.9857502	0.7634359	2.506992	0.6038393	0.5529435	2.193724
1086	-1778.8	-1942.628	163.8273	2.119349	1.011328	0.8352163	1.195649	3.879856	0.3828032	0.7829754	2.019932
1092	-1761.081	-1920.319	159.2382	1.683421	1.42476	0.9252231	0.8501463	1.46201	0.6515943	7.555017	2.146953
1098	-1774.903	-1940.64	165.7379	1.832227	1.093328	0.9252231	0.665003	0.7285585	0.6515943	2.492915	1.929635
1104	-1761.638	-1928.708	167.0702	1.200312	1.609552	0.6829711	0.2896107	0.7274139	0.3904161	2.423848	1.730248
1110	-1761.676	-1927.193	165.5167	2.245829	1.364547	0.763033	0.4944976	0.3670288	0.4876605	3.1158	1.822574
1116	-1771.684	-1939.566	167.8823	1.440436	0.8599786	0.7848475	0.425647	0.7197267	0.126619	1.982424	1.840914
1122	-1757.473	-1925.344	167.8701	1.628938	0.7656903	0.5428665	0.498099	0.7666708	0.126619	2.225166	1.707542
1128	-1758.443	-1926.56	168.1173	1.847555	0.8570493	0.5442214	0.2557455	0.5318078	0.07102304	2.225166	1.707542
1134	-1762.498	-1931.255	168.7575	1.639912	1.170094	0.449464	0.2800408	0.3745925	0.08723641	1.905225	1.537375
