Iteration	Posterior	Likelihood	Prior	gain_loss_ratio	tree_length
2064	-1832.811	-2003.35	170.5384	1.568334	2.010527
2070	-1841.486	-2012.705	171.2186	1.371319	1.670682
2076	-1846.801	-2017.407	170.6058	1.297697	2.13531
2082	-1840.743	-2011.118	170.3747	1.461412	2.18363
2088	-1831.518	-2002.561	171.043	1.155788	1.937833
2094	-1819.154	-1989.562	170.4081	1.148714	2.356637
2100	-1813.356	-1984.353	170.9974	1.273199	1.890535
2106	-1820.837	-1991.703	170.8658	1.409707	1.890535
2112	-1823.173	-1994.045	170.8718	1.448595	1.861265
2118	-1819.249	-1990.205	170.9564	1.359575	1.861499
2124	-1827.784	-1998.741	170.9564	1.359575	1.861499
2130	-1821.793	-1993.064	171.271	1.181153	1.764397
2136	-1829.051	-1999.799	170.7481	1.336987	2.016524
2142	-1824.931	-1996.119	171.1885	1.08956	1.883845
2148	-1829.799	-2000.651	170.8519	1.334899	1.948471
2154	-1827.487	-1997.973	170.4861	1.364326	2.171347
2160	-1832.045	-2002.917	170.8717	1.404875	1.889622
2166	-1836.427	-2007.644	171.2171	1.15744	1.818068
2172	-1828.146	-1999.349	171.2037	1.247005	1.766199
2178	-1825.091	-1995.55	170.4591	1.424787	2.151322
2184	-1829.67	-2000.703	171.0324	1.137805	1.956943
2190	-1822.732	-1993.814	171.0828	1.251284	1.846837
2196	-1831.842	-2002.902	171.0609	1.277849	1.844126
2202	-1827.069	-1997.949	170.8799	1.153822	2.048019
2208	-1834.889	-2005.646	170.7575	1.28009	2.046864
2214	-1839.326	-2009.97	170.6434	1.358531	2.072067
2220	-1836.971	-2007.645	170.6737	1.660171	1.862577
2226	-1834.618	-2005.662	171.0443	1.241762	1.87955
2232	-1834.523	-2005.684	171.1613	1.194058	1.831573
2238	-1822.351	-1993.362	171.0106	1.083811	2.007468
2244	-1830.776	-2001.715	170.9397	1.155053	2.007468
2250	-1827.971	-1998.981	171.0099	1.219186	1.917936
2256	-1825.457	-1996.439	170.9824	1.193566	1.953476
2262	-1836.704	-2007.675	170.9711	1.22894	1.937694
2268	-1826.155	-1997.439	171.2839	1.165967	1.765866
2274	-1827.73	-1998.787	171.0561	1.165967	1.922151
2280	-1830.062	-2001.13	171.0681	1.141546	1.930385
2286	-1829.92	-2000.471	170.5515	1.504359	2.041339
2292	-1829.085	-2000.072	170.9873	1.283201	1.890814
2298	-1828.448	-1999.291	170.8438	1.202284	2.040211
2304	-1816.858	-1987.702	170.8438	1.202284	2.040211
2310	-1826.499	-1997.305	170.8058	1.240898	2.040211
2316	-1817.623	-1988.709	171.0858	1.236382	1.854814
2322	-1816.324	-1987.052	170.7287	1.133284	2.160535
2328	-1823.295	-1994.146	170.8509	1.358379	1.933872
2334	-1830.898	-2001.755	170.8573	1.251335	1.999258
2340	-1831.108	-2001.956	170.848	1.260851	1.999258
2346	-1827.613	-1998.358	170.7448	1.260277	2.068023
2352	-1821.346	-1992.089	170.7426	1.379652	1.992847
2358	-1820.207	-1991.203	170.9965	1.345213	1.843481
2364	-1827.523	-1998.603	171.0808	1.235401	1.858877
2370	-1834.748	-2005.279	170.5316	1.532296	2.037289
2376	-1828.755	-1999.769	171.0137	1.325904	1.844506
2382	-1824.694	-1995.712	171.0179	1.266695	1.880924
2388	-1837.984	-2008.373	170.3888	1.563585	2.112212
2394	-1841.293	-2012.22	170.9268	1.464212	1.813372
2400	-1824.07	-1995.003	170.9333	1.224552	1.965961
2406	-1837.079	-2008.512	171.4334	0.9846444	1.787547
2412	-1832.557	-2003.378	170.8208	1.230766	2.036866
2418	-1834.77	-2005.586	170.8158	1.248989	2.028336
2424	-1831.557	-2002.656	171.0982	1.25312	1.835039
2430	-1827.74	-1998.529	170.7886	1.284518	2.023385
2436	-1817.985	-1988.951	170.9658	1.284518	1.904501
2442	-1815.683	-1986.662	170.9784	1.153002	1.983045
2448	-1820.314	-1991.19	170.8755	1.257477	1.983045
2454	-1827.689	-1998.878	171.1896	1.243706	1.778247
2460	-1842.576	-2013.459	170.8828	1.264301	1.973691
2466	-1840.62	-2011.582	170.962	1.183704	1.973691
2472	-1831.154	-2002.036	170.8813	1.225555	2.000056
2478	-1823.587	-1994.664	171.077	1.0954	1.955325
2484	-1816.44	-1987.207	170.7668	1.272101	2.045862
2490	-1839.951	-2010.652	170.7013	1.272101	2.089043
2496	-1823.133	-1994.029	170.8956	1.272101	1.96004
2502	-1825.667	-1996.734	171.0665	1.19577	1.895168
2508	-1830.123	-2001.198	171.0748	1.239457	1.860251
2514	-1826.238	-1997.358	171.1199	1.349181	1.755406
2520	-1824.988	-1996.285	171.2973	1.167531	1.755406
2526	-1833.262	-2004.041	170.7785	1.639747	1.803331
2532	-1830.36	-2001.324	170.9646	1.389139	1.836428
2538	-1832.877	-2003.554	170.6779	1.560871	1.9216
2544	-1837.562	-2008.938	171.3766	0.9771106	1.832041
2550	-1826.107	-1996.915	170.8078	1.427069	1.918688
2556	-1821.068	-1991.923	170.8554	1.346572	1.938536
2562	-1817.086	-1987.833	170.7466	1.437044	1.953501
2568	-1825.924	-1996.805	170.8807	1.210043	2.010604
2574	-1826.855	-1998.036	171.1817	1.022876	1.933576
2580	-1823.884	-1994.557	170.6734	1.16541	2.175745
2586	-1829.928	-2001.033	171.105	1.327226	1.780573
2592	-1827.288	-1998.248	170.9598	1.130031	2.010652
2598	-1829.002	-2000.145	171.1424	1.243924	1.810782
2604	-1824.192	-1994.952	170.7596	1.042384	2.199257
2610	-1829.413	-2000.249	170.8366	1.29862	1.982275
2616	-1824.97	-1995.883	170.9129	1.306936	1.925548
2622	-1833.047	-2003.76	170.7134	1.401674	1.998305
2628	-1841.156	-2012.162	171.0068	1.197269	1.934605
2634	-1835.76	-2006.843	171.0825	1.120787	1.934605
2640	-1829.843	-2000.853	171.0092	1.194838	1.934605
2646	-1818.56	-1989.689	171.1295	1.104881	1.913573
