Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
1104	-175.6943	-345.1711	169.4768	2.765218	1.539681	0.8487872
1110	-174.7544	-345.9709	171.2166	1.391413	0.9922332	0.7939693
1116	-195.724	-366.4965	170.7725	1.435727	0.9545703	1.234413
1122	-185.5812	-356.3951	170.814	1.813565	0.9545703	0.8605664
1128	-175.6645	-347.2046	171.5401	1.08096	1.027527	0.7122824
1134	-174.5609	-345.8087	171.2478	1.478971	0.721817	0.9745031
1140	-187.9036	-358.0006	170.097	2.280763	1.192319	0.9576859
1146	-182.1711	-353.411	171.2399	1.185772	1.054951	0.9300237
1152	-204.9958	-375.1085	170.1126	1.746839	1.820667	0.7152965
1158	-190.5829	-360.6231	170.0402	1.746839	1.881948	0.7333225
1164	-186.2277	-357.2053	170.9776	0.7423781	1.950542	0.6645642
1170	-189.9768	-360.6835	170.7067	1.062014	1.950542	0.499516
1176	-195.0221	-364.0343	169.0122	3.160498	1.887966	0.5579221
1182	-188.3967	-357.8661	169.4694	2.238725	2.112903	0.5579221
1188	-193.2708	-364.526	171.2552	1.245581	1.047615	0.8539938
1194	-181.6923	-352.1102	170.4179	1.996386	0.9643904	1.095458
1200	-176.7525	-348.9006	172.1481	0.7406035	0.5876049	0.9292348
1206	-172.7625	-344.9649	172.2024	0.7406035	0.5305344	0.9321653
1212	-182.6518	-353.4799	170.8281	1.828824	0.863781	0.9321653
1218	-185.4602	-356.6741	171.2139	1.474069	0.9996701	0.6599832
1224	-186.0871	-357.0827	170.9956	1.343593	1.116409	0.9605593
1230	-194.7863	-365.521	170.7347	1.392536	0.979945	1.278852
1236	-199.5327	-370.6131	171.0804	1.392536	0.8037432	1.134016
1242	-196.194	-367.3551	171.1611	1.214007	0.9708706	1.065563
1248	-194.8522	-366.1622	171.31	1.036854	0.9543643	1.105901
1254	-187.2524	-358.7252	171.4727	0.9092237	0.9543643	1.073329
1260	-192.6057	-363.8241	171.2184	1.534591	0.6396844	1.033748
1266	-192.448	-363.8928	171.4449	1.534591	0.2959035	1.142354
1272	-190.5457	-361.3479	170.8022	1.830458	0.6453919	1.165096
1278	-197.5042	-369.4204	171.9162	0.8907712	0.3825674	1.204217
1284	-181.383	-353.0617	171.6787	1.237727	0.6588001	0.8204308
1290	-182.9878	-353.8188	170.831	2.338965	0.6767911	0.5184121
1296	-185.8935	-355.3735	169.48	3.253771	1.351281	0.5818617
1302	-178.1133	-347.6191	169.5058	3.361927	1.236116	0.6319141
1308	-178.4976	-349.4382	170.9406	1.411419	1.281218	0.7482712
1314	-180.8301	-351.9007	171.0707	1.66655	0.7536566	0.945289
1320	-187.9055	-357.5216	169.6161	2.527078	1.577639	0.849201
1326	-186.8568	-356.3791	169.5223	3.285621	1.112557	0.8713037
1332	-189.2054	-359.5846	170.3791	1.002042	2.288623	0.6740477
1338	-187.6052	-358.9387	171.3335	0.9328206	1.451107	0.5299967
1344	-190.6097	-361.7313	171.1216	0.993867	1.544879	0.6916732
1350	-194.1874	-365.9837	171.7963	0.993867	0.6492733	0.9724678
1356	-187.2814	-357.9448	170.6634	1.704979	0.6492733	1.368898
1362	-171.9929	-342.3369	170.344	2.586264	0.9276551	0.6670964
1368	-175.6092	-345.5642	169.955	2.33583	1.548114	0.5653269
1374	-185.5089	-355.762	170.253	1.706788	1.723789	0.702336
1380	-181.7233	-353.0998	171.3766	1.176195	1.05127	0.7808066
1386	-185.5827	-355.7447	170.162	1.877155	1.649546	0.7268921
1392	-180.1723	-351.5054	171.3331	1.479156	0.8071736	0.7737175
1398	-170.9457	-341.0606	170.1149	2.304461	1.272296	0.8242538
1404	-182.2241	-352.1553	169.9312	2.540529	1.272296	0.8242538
1410	-183.5353	-353.8829	170.3477	2.129927	0.6850357	1.300074
1416	-191.4221	-360.5324	169.1103	4.839877	0.5233714	0.9575576
1422	-182.0254	-352.7127	170.6873	2.096687	0.7820455	0.9256798
1428	-179.3491	-350.0339	170.6848	2.652555	0.4915672	0.7454155
1434	-173.9012	-344.1854	170.2842	2.600819	0.9249954	0.7542161
1440	-186.1244	-356.9838	170.8594	1.824493	0.737084	1.033221
1446	-173.4119	-345.0232	171.6113	1.043521	0.8879558	0.858538
1452	-181.1046	-352.4625	171.3579	1.014641	1.099127	0.9386941
1458	-186.8183	-357.1763	170.358	2.096859	1.099127	0.9386941
1464	-179.9154	-351.0575	171.1421	1.547219	0.8485563	0.8824502
1470	-186.9819	-356.9663	169.9843	2.770432	0.9998766	0.8824502
1476	-191.0636	-361.422	170.3584	2.544808	0.970257	0.6075885
1482	-179.1034	-350.7429	171.6395	0.9610773	0.970257	0.8238771
1488	-183.3757	-353.8398	170.464	1.65223	1.213723	1.101561
1494	-189.6656	-360.7429	171.0772	1.521118	0.9834906	0.8273151
1500	-188.9703	-358.6732	169.7028	3.606399	0.9107867	0.4903906
1506	-180.9757	-350.466	169.4903	2.804123	1.64066	0.6218548
1512	-175.6585	-346.0842	170.4257	1.888778	1.448188	0.5624114
1518	-191.6003	-361.204	169.6036	2.390978	1.83949	0.3974423
1524	-187.4333	-358.8073	171.374	0.6369851	1.694423	0.4928195
1530	-184.892	-355.2161	170.3241	2.447211	1.024339	0.7199609
1536	-182.5112	-354.438	171.9269	0.4775219	1.13102	0.796395
1542	-183.5197	-352.7927	169.273	2.487584	2.109522	0.4322145
1548	-181.4984	-351.424	169.9255	1.868198	1.923527	0.6749676
1554	-186.3925	-355.6813	169.2888	2.232388	2.278472	0.6238384
