Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
1056	-217.9147	-382.8133	164.8986	1.282073	1.389768	1.164846	0.7698056	3.644285
1062	-243.4567	-405.6809	162.2242	1.281989	2.452161	1.332844	0.8028485	4.53406
1068	-227.8612	-389.1504	161.2893	2.735468	1.058057	1.556618	1.355284	4.510686
1074	-238.3	-401.9633	163.6633	1.851541	0.8426901	1.021419	1.745432	3.859383
1080	-224.6556	-388.4221	163.7665	1.438489	1.680162	1.010703	1.538363	3.696639
1086	-233.5745	-396.9232	163.3487	1.320722	1.76506	0.6087999	0.7591897	4.61929
1092	-242.1273	-406.4473	164.32	0.9284474	1.58227	1.613786	2.839547	2.602282
1098	-238.6678	-402.0635	163.3957	2.841119	1.491999	1.171549	2.466033	2.534812
1104	-250.9676	-413.0693	162.1017	3.231524	0.7695953	1.147918	2.659576	3.402643
1110	-242.6049	-406.0002	163.3953	3.605159	0.242814	1.040185	3.866517	1.791498
1116	-239.0834	-404.2347	165.1513	3.446825	0.267201	0.7586272	2.646363	1.74682
1122	-214.9132	-379.2319	164.3187	2.301368	0.6228905	1.487219	1.391368	3.27735
1128	-217.3557	-377.3918	160.0361	6.784488	0.6846056	1.18268	1.451608	3.264822
1134	-228.2335	-392.1154	163.8819	2.31791	0.7682017	1.315647	1.572643	3.436117
1140	-221.3487	-385.0696	163.7208	2.348375	0.8464637	1.280399	1.252676	3.673931
1146	-232.7081	-396.0995	163.3914	2.502037	0.9078908	1.280399	1.568213	3.557553
1152	-223.0582	-388.459	165.4008	1.143265	1.636063	1.7023	1.136643	2.7728
1158	-236.9492	-401.7651	164.8159	2.420114	0.8846958	1.222348	0.8817771	3.219465
1164	-232.251	-397.1789	164.9279	2.130604	0.9306798	0.9823174	2.230321	2.629077
1170	-222.8701	-387.0876	164.2175	3.01618	0.6411538	0.8483283	1.472803	3.227689
1176	-232.6407	-395.8219	163.1812	1.372691	1.831711	2.145741	1.142573	3.620031
1182	-232.4558	-397.7552	165.2994	0.863532	0.9988361	2.27191	1.142573	3.078004
1188	-225.1063	-390.728	165.6217	1.685653	0.6309383	1.079323	3.095614	2.03909
1194	-230.3721	-396.1698	165.7977	1.567263	0.745839	1.309184	2.074322	2.44672
1200	-233.6177	-397.2437	163.626	3.165738	0.6676491	1.793169	2.256309	2.455836
1206	-226.3027	-388.8057	162.503	3.496588	0.926841	1.65654	2.481833	2.728318
1212	-215.5097	-383.3683	167.8585	0.07720362	1.056492	1.10146	1.501692	2.383356
1218	-231.1838	-399.8911	168.7073	0.1198199	0.891792	1.222229	0.9410192	2.200577
1224	-238.2051	-406.75	168.5449	0.09339351	0.4808263	1.249297	1.459499	2.200577
1230	-230.3295	-394.8396	164.5102	1.176309	1.339063	1.643908	1.275116	3.400225
1236	-233.9822	-400.7915	166.8092	0.5503152	0.878811	1.322535	1.436281	2.756963
1242	-233.7583	-402.5138	168.7555	0.08188014	0.6181316	1.034539	1.54364	2.090256
1248	-224.5342	-393.3661	168.8319	0.08188014	0.7383747	1.08873	1.052859	2.254117
1254	-226.8712	-394.9902	168.1191	0.08188014	1.005101	0.9105036	0.856594	2.769374
1260	-225.7431	-393.4667	167.7235	0.08188014	1.10633	0.9203669	1.141254	2.769374
1266	-228.5123	-397.1126	168.6003	0.1080076	1.10633	0.8679026	1.072184	2.281622
1272	-233.6691	-402.2849	168.6158	0.1105336	0.9192961	1.045014	1.064298	2.281622
1278	-237.9067	-406.6402	168.7335	0.1105336	0.4532774	1.064037	1.325181	2.281622
1284	-225.8575	-395.7537	169.8962	0.1105336	0.4532774	1.064037	1.466021	1.377636
1290	-229.4082	-391.7213	162.313	5.54974	0.4490828	0.901695	3.204712	1.794419
1296	-236.1807	-400.5769	164.3963	2.220122	0.8403036	1.198572	3.610151	1.947306
1302	-220.2833	-385.5462	165.2628	2.666722	0.7173794	0.8529138	1.746816	2.597525
1308	-214.6218	-382.0652	167.4433	1.213326	0.7361844	0.697816	1.009298	2.684741
1314	-217.1622	-386.7964	169.6342	0.09843087	0.9373863	0.9130276	1.162331	1.612968
1320	-218.2654	-385.557	167.2916	0.611882	1.445507	1.126274	1.709686	2.007379
1326	-211.7111	-379.9419	168.2308	0.611882	0.7298739	0.6304381	2.464223	1.655402
1332	-207.8364	-374.3393	166.5029	1.443446	0.7298739	0.9866901	3.106704	1.591985
1338	-210.6744	-378.9437	168.2693	0.9748089	0.338316	0.8945422	2.055702	1.647181
1344	-222.0978	-391.0245	168.9266	0.09228708	0.7371632	0.9213755	1.781709	1.812135
1350	-206.7805	-375.9195	169.139	0.0923887	0.4481637	1.405684	1.781786	1.475692
1356	-216.8036	-385.3199	168.5164	0.0923887	0.8224073	0.8372908	1.631903	2.186676
1362	-239.6525	-405.8141	166.1617	0.08489451	1.64987	1.682793	0.8717023	3.114671
1368	-233.5498	-400.9882	167.4384	0.09707763	1.063172	0.8572555	0.9437109	3.114671
