Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
192	63.94626	-201.7751	265.7214	0.364757	0.0182672	0.0495012	0.00776749	0.00673448	0.00176085	0.00936869	0.00769803	0.00025308	0.0193031	0.00173597	0.00566937	0.0198952	0.00114769	0.014814	0.000976346	0.0720851	0.000737439	0.0146695	0.0144883	0.000269378	0.0206203	0.0515471	0.00961982	0.0308821	0.0193711	0.0269837	0.0164877	0.0069076	0.0416525	0.0097774	0.020727	0.0328133	0.0603902	0.0170837	0.00323704	0.3544821
198	57.65453	-208.0669	265.7214	0.364183	0.0225253	0.0494234	0.00775528	0.00672389	0.00151791	0.00935396	0.00768592	0.000252682	0.0192727	0.000853337	0.00475108	0.019864	0.00114589	0.0147907	0.000974811	0.0719717	0.000736279	0.0119583	0.0144656	0.000268954	0.0205879	0.0514661	0.00960469	0.0308335	0.0193406	0.0269413	0.0164617	0.00689674	0.041587	0.00976203	0.0206944	0.0347647	0.0602952	0.0170569	0.00323195	0.3544821
204	67.08718	-198.5394	265.6266	0.363181	0.0224633	0.0492874	0.00773394	0.00670539	0.000780557	0.00932822	0.00766477	0.000327869	0.0192197	0.000570503	0.00473801	0.0198093	0.00114274	0.01475	0.000972128	0.0717737	0.000734253	0.0119254	0.0144258	0.000268214	0.0117182	0.0513244	0.00957826	0.0212289	0.0192874	0.0268672	0.0164164	0.00687776	0.0414725	0.00973517	0.0429883	0.034669	0.0601293	0.0170099	0.00289482	0.2750629
210	62.8912	-202.7995	265.6907	0.360651	0.0191051	0.0372442	0.00638399	0.00176605	0.000110501	0.0296808	0.00790024	0.000777715	1.70334e-05	0.00201274	0.00470153	0.0161735	0.00273941	0.00570257	0.000762998	0.0668287	0.00394599	0.00683348	0.0245781	0.000490106	0.0066542	0.0585824	0.00344724	0.0291624	0.0304907	0.0254114	0.0168164	0.0162276	0.0168846	0.0166273	0.0431665	0.018077	0.0630082	0.0209297	0.0361085	0.3224178
216	58.89554	-206.8783	265.7739	0.372331	0.0102445	0.0384504	0.00659073	0.00182325	0.00011408	0.030642	0.00815609	0.000802901	1.75851e-05	0.00229831	0.00485379	0.0166973	0.00257157	0.00588725	0.000787708	0.0689929	0.00407378	0.00705478	0.0253741	0.00100494	0.00686969	0.0604796	0.00355888	0.0301069	0.0314781	0.0262344	0.0173611	0.00737775	0.0174314	0.0109097	0.0355846	0.0315661	0.0650487	0.00994663	0.0372779	0.514626
222	67.99878	-197.7182	265.717	0.390203	0.0107363	0.040296	0.00228251	0.000252093	1.8939e-05	0.0321128	0.00854759	0.000841441	1.84292e-05	0.00240863	0.00206598	0.0174988	0.00269501	0.00616984	0.000825518	0.0723046	0.00426932	0.00739342	0.0265921	0.00105318	0.00719944	0.0633827	0.0037297	0.031552	0.0329891	0.0164959	0.0219756	0.00773189	0.0182681	0.00492179	0.0124248	0.0330813	0.0681711	0.0104241	0.0390672	0.3492816
228	69.10214	-196.6265	265.7286	0.434993	0.0146808	0.0224648	0.00683527	0.000281031	2.1113e-05	0.0400534	0.00952875	0.000938028	2.05446e-05	0.00268511	0.00230313	0.00996807	0.00300436	0.00687807	0.000920278	0.0137205	0.00475939	0.00824209	0.0296445	0.00184587	0.00802585	0.0706583	0.00415783	0.0351738	0.0367758	0.0183894	0.0244982	0.00861941	0.016466	0.00548675	0.013851	0.0368786	0.0759963	0.0116206	0.0196138	0.3636991
234	63.70692	-202.0217	265.7286	0.440757	0.0148753	0.0227625	0.00692584	0.000516829	2.13928e-05	0.0405841	0.00965502	0.00080287	2.08169e-05	0.00272069	0.00275586	0.0101002	0.00304417	0.00696921	0.000932473	0.0139023	0.00482246	0.00835131	0.0300373	0.00187033	0.0081322	0.0715946	0.00421292	0.0356399	0.0480479	0.0186331	0.0248228	0.00873363	0.0166842	0.00555946	0.0140346	0.0128246	0.0770033	0.0117746	0.0198737	0.3636991
240	73.30253	-191.549	264.8515	0.446112	0.00860935	0.0243575	0.00700998	0.000523108	2.16526e-05	0.0415052	0.0097723	0.000812623	2.10697e-05	0.00275374	0.0043536	0.0102229	0.00308115	0.00524649	0.0009438	0.0140712	0.00488104	0.0120448	0.0304022	0.00189305	0.00823099	0.0724643	0.00426188	0.0360728	0.0486316	0.00806495	0.0251244	0.00883973	0.0168868	0.00562699	0.0142051	0.0129804	0.0779388	0.0119177	0.0201151	0.08698683
246	68.75266	-197.0176	265.7703	0.434285	0.00838111	0.0237118	0.00682413	0.00050924	2.10786e-05	0.0404048	0.00951323	0.000791079	2.05111e-05	0.00268074	0.00423818	0.00995183	0.00299947	0.0051074	0.000918779	0.0136982	0.00429319	0.0117255	0.0295962	0.00184286	0.00701088	0.0705432	0.00414889	0.0351165	0.0624493	0.00785114	0.0244583	0.00560296	0.0323062	0.00547781	0.0138285	0.0126363	0.0758725	0.0116017	0.0195818	0.4565195
