Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
1140	-1462.821	-1632.881	170.0604	0.3404299	0.8585922	0.8701002	0.438834	0.561166	0.461276	0.538724	1.341812
1146	-1457.788	-1627.772	169.9843	0.4644189	0.8612055	0.8701002	0.438834	0.561166	0.428022	0.571978	1.30727
1152	-1455.536	-1625.377	169.841	0.5326099	0.8891228	0.9732797	0.438834	0.561166	0.428022	0.571978	1.261689
1158	-1456.402	-1626.246	169.8441	0.4834864	0.9401517	0.9618071	0.494568	0.505432	0.425247	0.574753	1.261689
1164	-1456.869	-1626.593	169.7238	0.2965632	1.28633	0.9292922	0.518681	0.481319	0.353702	0.646298	1.286835
1170	-1459.283	-1629.288	170.0053	0.09311198	1.025629	1.109932	0.518681	0.481319	0.430017	0.569983	1.257436
1176	-1465.086	-1634.846	169.7599	0.3509365	1.317839	1.132151	0.494419	0.505581	0.491155	0.508845	0.9510992
1182	-1476.635	-1645.926	169.291	0.07149242	1.72704	1.132151	0.593147	0.406853	0.404732	0.595268	1.314094
1188	-1469.303	-1639.494	170.1907	0.07932272	1.155038	0.8310549	0.561156	0.438844	0.49856	0.50144	1.23688
1194	-1462.833	-1632.662	169.8291	0.5181919	1.155038	0.7180639	0.561156	0.438844	0.428796	0.571204	1.275035
1200	-1471.506	-1640.759	169.2524	0.5262767	1.658958	0.6936246	0.659766	0.340234	0.428269	0.571731	1.402594
1206	-1467.322	-1637.701	170.3786	0.06235291	0.9840375	0.9431251	0.516763	0.483237	0.419928	0.580072	1.145022
1212	-1462.115	-1632.39	170.2747	0.02166306	1.022547	0.975971	0.545106	0.454894	0.476148	0.523852	1.201597
1218	-1468.888	-1637.461	168.5736	1.659854	1.319816	0.8375969	0.545106	0.454894	0.476148	0.523852	1.12066
1224	-1462.019	-1631.86	169.8412	0.5881085	1.17296	0.8113239	0.545106	0.454894	0.476148	0.523852	1.0971
1230	-1456.772	-1626.261	169.4894	0.902496	0.887802	1.134617	0.553752	0.446248	0.476148	0.523852	1.0971
1236	-1457.605	-1627.599	169.9945	0.2091051	0.9143631	0.9661515	0.470275	0.529725	0.448646	0.551354	1.37536
1242	-1463.268	-1633.259	169.9916	0.1647848	0.9598837	0.9727331	0.443267	0.556733	0.448584	0.551416	1.37536
1248	-1465.809	-1635.431	169.6223	0.9988883	0.9339748	0.7283368	0.443267	0.556733	0.406353	0.593647	1.227435
1254	-1454.675	-1624.715	170.0402	0.1315514	0.9339748	1.091334	0.49227	0.50773	0.393691	0.606309	1.298147
1260	-1473.423	-1643.45	170.0265	0.437999	0.9425886	0.9531351	0.620319	0.379681	0.382649	0.617351	1.190912
1266	-1476.642	-1646.022	169.3799	0.6064231	1.234517	1.273315	0.475096	0.524904	0.475234	0.524766	1.019002
1272	-1479.829	-1649.931	170.1013	0.7438087	0.6859891	0.7923067	0.496348	0.503652	0.454173	0.545827	1.168999
1278	-1473.935	-1642.94	169.0046	1.534291	1.009522	0.9809659	0.508194	0.491806	0.395792	0.604208	1.002138
1284	-1476.013	-1645.547	169.534	1.444684	0.6719078	0.8859751	0.440828	0.559172	0.449639	0.550361	0.9749108
1290	-1470.475	-1639.495	169.0201	1.444684	0.9306774	1.179815	0.450867	0.549133	0.344426	0.655574	0.9895844
1296	-1466.368	-1635.988	169.6192	0.3282166	1.093249	1.590582	0.574531	0.425469	0.539977	0.460023	0.8854265
1302	-1473.973	-1643.757	169.7838	0.03871142	1.431058	1.44908	0.574531	0.425469	0.43897	0.56103	0.813916
1308	-1473.533	-1642.49	168.957	0.9734639	1.368985	1.435011	0.543824	0.456176	0.43897	0.56103	0.7559619
1314	-1471.346	-1640.727	169.3817	0.9734639	1.270298	0.8740768	0.551623	0.448377	0.416694	0.583306	1.031015
1320	-1469.729	-1639.723	169.9938	0.214681	0.9320274	1.059809	0.500126	0.499874	0.414971	0.585029	1.288467
1326	-1467.814	-1637.963	170.1493	0.545734	0.6712017	0.8399246	0.405308	0.594692	0.423529	0.576471	1.288467
1332	-1468.092	-1638.17	170.0782	0.6457317	0.7641072	0.9579416	0.507073	0.492927	0.407422	0.592578	1.075023
1338	-1470.486	-1639.375	168.8891	1.701008	1.117091	0.7440133	0.6013	0.3987	0.473556	0.526444	1.077713
