Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
2166	-737.2745	-902.4203	165.1458	1.014253	5.431766
2172	-736.1162	-901.1569	165.0407	0.960126	5.519358
2178	-728.5896	-892.9237	164.3341	0.9184961	5.92927
2184	-740.4812	-906.3076	165.8264	0.9398054	5.096876
2190	-732.3154	-897.5465	165.2311	1.028303	5.377024
2196	-731.7775	-897.4863	165.7089	1.113671	5.065611
2202	-733.0492	-899.1165	166.0674	1.022973	4.916804
2208	-745.3298	-911.1837	165.8539	0.8178318	5.149198
2214	-738.5895	-902.9212	164.3317	0.9863848	5.893543
2220	-734.4044	-898.9146	164.5102	0.8868027	5.850395
2226	-753.0759	-917.6589	164.583	1.006852	5.744872
2232	-738.9205	-902.6251	163.7045	0.8424527	6.313494
2238	-736.996	-902.4243	165.4283	1.007554	5.279627
2244	-736.9508	-902.8248	165.874	0.812588	5.140958
2250	-733.4582	-899.278	165.8198	0.86679	5.140958
2256	-730.1328	-895.7993	165.6665	1.116215	5.087717
2262	-734.2094	-900.0019	165.7926	1.127103	5.011695
2268	-726.7428	-891.0143	164.2715	0.9405242	5.951437
2274	-738.7671	-904.0525	165.2854	0.942157	5.394542
2280	-732.7119	-897.9668	165.2549	0.9726714	5.394542
2286	-742.1971	-908.3428	166.1457	1.096186	4.832387
2292	-736.1248	-900.0432	163.9184	0.9960172	6.113691
2298	-734.5584	-900.6614	166.103	1.240675	4.77556
2304	-745.7604	-911.1732	165.4128	1.288321	5.132895
2310	-754.1285	-918.7333	164.6049	1.16885	5.644084
2316	-751.1904	-917.1275	165.9372	1.198708	4.891444
2322	-759.6486	-926.7103	167.0618	1.397909	4.147
2328	-739.0607	-905.9733	166.9126	1.420059	4.219137
2334	-748.4804	-912.3991	163.9187	0.9100264	6.160343
2340	-739.0586	-904.3958	165.3372	0.8808314	5.399824
2346	-736.5931	-900.1891	163.596	0.8982547	6.342115
2352	-727.3574	-892.6667	165.3093	0.8372576	5.439169
2358	-738.6459	-903.9821	165.3361	1.106466	5.275912
2364	-747.9345	-912.9141	164.9796	0.877088	5.598534
2370	-745.8348	-909.9844	164.1495	0.9725189	6.000545
2376	-738.9905	-903.9338	164.9433	0.8683976	5.623245
2382	-732.4202	-896.1582	163.738	0.7812585	6.328545
2388	-743.6189	-907.6074	163.9885	0.7593214	6.204375
2394	-735.5901	-898.3727	162.7826	0.6467408	6.918054
2400	-743.5632	-906.1378	162.5746	0.854712	6.918054
2406	-730.6778	-894.9972	164.3193	0.8456341	5.977131
2412	-727.5998	-892.9697	165.3698	1.075305	5.274519
2418	-730.1543	-895.3052	165.1508	0.8816381	5.501958
2424	-730.3106	-895.466	165.1553	0.8771362	5.501958
2430	-733.1566	-897.5073	164.3507	0.7341684	6.020845
2436	-732.1271	-894.8648	162.7377	0.7545638	6.884092
2442	-732.3275	-895.1148	162.7872	0.7050889	6.884092
2448	-726.7488	-889.6358	162.887	0.7050889	6.830281
2454	-726.7545	-890.1074	163.353	0.8068053	6.52345
2460	-728.3527	-892.6635	164.3108	0.8068053	6.002955
2466	-740.7062	-904.04	163.3338	1.028312	6.413813
2472	-742.0324	-906.6465	164.6141	1.028312	5.716093
2478	-749.0737	-914.9008	165.8271	1.056111	5.031938
2484	-729.2276	-893.651	164.4233	0.9052698	5.88777
2490	-736.3545	-900.7779	164.4233	0.9052698	5.88777
2496	-728.3325	-892.8093	164.4769	0.8306705	5.899287
2502	-744.1468	-909.4688	165.322	1.012578	5.335573
2508	-736.9962	-901.0082	164.012	0.9109385	6.109034
2514	-743.9502	-909.7467	165.7965	1.087146	5.031671
2520	-743.253	-908.0044	164.7514	0.9070727	5.707272
2526	-734.4593	-898.4391	163.9798	0.9070727	6.128692
2532	-739.4382	-903.6541	164.2159	0.9070727	6.000039
2538	-730.4528	-895.3893	164.9365	0.8857463	5.617434
2544	-747.7236	-910.4346	162.711	1.055884	6.73594
2550	-755.7533	-918.9948	163.2415	1.040165	6.457408
2556	-744.772	-910.537	165.765	1.040165	5.075261
2562	-737.7472	-903.3137	165.5664	1.174748	5.110716
2568	-730.3563	-894.4934	164.1371	1.015945	5.983639
2574	-749.2759	-914.9754	165.6995	1.315665	4.958644
2580	-747.7593	-913.2655	165.5062	0.916956	5.286648
2586	-737.1279	-901.6839	164.5559	1.008414	5.75884
2592	-735.982	-900.3772	164.3952	0.971985	5.866694
2598	-755.7709	-920.4421	164.6712	1.03312	5.682138
2604	-734.8334	-898.4759	163.6425	0.8735817	6.330299
2610	-728.338	-893.0441	164.7061	0.7579774	5.813723
2616	-743.6241	-910.0447	166.4206	1.133582	4.657852
2622	-738.0798	-904.8148	166.735	1.12494	4.486174
2628	-740.0716	-906.475	166.4033	1.021662	4.730125
2634	-732.3879	-896.3643	163.9765	0.9115265	6.12809
2640	-742.5229	-907.056	164.5331	1.047423	5.749983
2646	-730.0288	-893.623	163.5942	0.7831439	6.40554
2652	-735.8759	-898.0304	162.1545	0.6979983	7.228399
2658	-740.7721	-906.1059	165.3338	0.8894767	5.396906
2664	-743.4131	-908.7394	165.3263	1.043591	5.316062
2670	-741.7293	-907.4605	165.7312	1.048684	5.089264
2676	-753.9259	-918.9926	165.0667	1.048684	5.456343
2682	-747.8231	-911.8017	163.9785	0.7901826	6.192985
2688	-744.4603	-910.0156	165.5553	0.9912934	5.218439
2694	-751.0484	-916.8258	165.7774	0.9909601	5.095681
2700	-753.4417	-918.1235	164.6818	0.9473784	5.723329
2706	-748.746	-913.7453	164.9992	1.033868	5.501622
2712	-743.893	-908.9025	165.0094	1.023657	5.501622
2718	-733.4991	-898.5919	165.0928	0.940328	5.501622
2724	-732.2011	-897.1427	164.9416	0.940328	5.584666
2730	-739.9675	-906.4538	166.4863	0.931167	4.734302
2736	-738.7381	-903.7415	165.0034	0.9665286	5.536342
2742	-731.7998	-895.6355	163.8357	0.7107857	6.313783
2748	-735.7799	-898.8084	163.0285	0.8894225	6.654336
2754	-736.0462	-900.8099	164.7637	0.8894225	5.710198
2760	-740.4352	-906.6805	166.2452	0.9403051	4.863777
2766	-741.3737	-906.633	165.2593	1.00903	5.372111
2772	-743.0101	-909.1395	166.1294	1.030708	4.877937
