Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
1362	-1004.012	-1172.072	168.0601	0.1563256	1.2299	0.7659258	1.127433	2.542762
1368	-1009.02	-1176.37	167.3502	0.355868	1.070588	1.201343	1.034654	2.745992
1374	-1016.848	-1184.278	167.4305	0.2817923	1.055686	0.8342313	0.8263511	3.097237
1380	-1017.577	-1184.357	166.7806	0.1121111	1.124658	0.7378135	0.6976092	3.668087
1386	-1027.763	-1194.069	166.3063	0.1484067	1.139545	0.6824604	0.7590962	3.906025
1392	-1007.765	-1174.557	166.7924	0.119836	1.011887	1.316238	0.9270565	3.254907
1398	-1013.714	-1181.224	167.51	0.01126998	1.011887	1.043248	1.137578	2.926648
1404	-1009.615	-1177.16	167.545	0.1561697	1.105148	1.122599	0.9909374	2.802167
1410	-1014.476	-1182.136	167.6597	0.5097765	1.264038	0.813612	1.155174	2.505205
1416	-1014.425	-1181.471	167.0458	0.5428608	1.1402	1.081291	0.8604453	2.953049
1422	-1009.34	-1176.628	167.2881	0.0188163	0.9359166	1.018536	0.8758214	3.270573
1428	-1017.244	-1184.848	167.6042	0.09678928	1.191724	0.7600323	0.9087895	3.016935
1434	-1033.942	-1200.939	166.997	0.09688917	1.16667	1.236975	0.9823316	3.068514
1440	-1029.536	-1197.269	167.7328	0.1702468	1.125679	0.8156886	1.03469	2.826038
1446	-1016.635	-1184.538	167.9026	0.2595915	1.171881	1.049706	1.02026	2.50396
1452	-1018.629	-1186.488	167.8586	0.2595915	1.405097	1.049706	0.9950668	2.405022
1458	-1014.767	-1183.156	168.3883	0.0261943	0.8309136	0.9317534	0.9950668	2.6467
1464	-1017.795	-1185.548	167.7529	0.03285267	1.007497	0.9778082	1.051079	2.861269
1470	-1007.012	-1174.936	167.9231	0.1847061	1.145874	0.9778082	0.9981452	2.612176
1476	-1022.444	-1190.24	167.7959	0.06613038	1.145874	1.009893	1.034358	2.721449
1482	-1012.203	-1179.858	167.6552	0.2473021	0.8981141	1.009893	0.955296	2.895225
1488	-1012.338	-1179.901	167.5632	0.2163626	1.149151	1.455848	1.020419	2.509317
1494	-1000.346	-1167.848	167.5018	0.2637521	1.081819	1.251361	1.020419	2.681325
1500	-1004.031	-1171.688	167.6564	0.1489024	1.027449	1.017594	1.08519	2.792367
1506	-1014.128	-1180.997	166.8687	0.3085703	1.323161	0.8662012	0.8976379	3.197475
1512	-1014.902	-1182.279	167.3769	0.01094887	1.136484	1.253739	0.8450867	2.982768
1518	-1019.455	-1186.939	167.4842	0.2578329	1.079727	0.885041	0.8530637	3.019144
1524	-1029.782	-1197.719	167.9362	0.08024591	0.746177	0.8964651	1.009782	2.951327
1530	-1007.386	-1175.768	168.3815	0.03727786	1.125974	0.794567	0.999025	2.54351
1536	-1005.799	-1173.42	167.6209	0.2383855	1.006409	0.863383	0.7918638	3.042303
1542	-1023.033	-1189.769	166.7362	0.6162392	1.000514	0.665617	0.7137571	3.502162
1548	-1025.476	-1191.702	166.2263	0.3487648	1.115033	0.9826956	0.7137571	3.708893
1554	-1022.809	-1190.418	167.6095	0.006298563	1.168469	0.6853113	0.7137571	3.238883
1560	-1016.688	-1184.384	167.6968	0.004932247	1.20411	1.263382	1.146514	2.560684
1566	-1013.482	-1181.711	168.2289	0.08680754	0.8972115	1.038143	0.9560924	2.625698
