"scenario","gridTag","modelID","median_cid","iqr_cid","n_reps","tree_length","gain_loss","n_char","n_taxa","part_rate","pass_rate","mean_rhat_max","mean_ess_min","mean_asdsf","mean_tree_ess","n_reps_conv","cov_tree_len","mse_tree_len","cov_error_tree_len","mean_cov_rate_loss","mean_mse_rate_loss","cov_error_rate_loss","mean_cgr_coverage","cov_error_cgr"
"nt","tl2.50_gl1.00_pr1.00_c25","model9",0.498080922499402,0.084291011254916,8,2.5,1,25,50,1,0.8,0.999667402939372,649.121872881382,0.00437380708700451,500.933577061017,10,0.9,0.676035410122236,0.0499999999999999,NA,NA,NA,0.9375,0.0125
"nt","tl2.50_gl1.00_pr1.00_c50","model1",0.393388624312195,0.108759424652013,10,2.5,1,50,50,1,1,0.999413839480044,762.873557156457,0.00589999522999938,379.258252901376,10,0.4,1.92392732009383,0.55,NA,NA,NA,0.4,0.55
"nt","tl2.50_gl1.00_pr1.00_c50","model10",0.395171215104819,0.0633438488533373,10,2.5,1,50,50,1,1,0.999439585906632,790.929305559517,0.00573505250683509,438.310279557475,10,0.6,4.60653557102802,0.35,NA,NA,NA,0.75,0.2
"nt","tl2.50_gl1.00_pr1.00_c50","model11",0.365590748552854,0.13999172304227,10,2.5,1,50,50,1,1,0.999416032261686,745.880084621927,0.0067825869237046,232.020698655706,10,0.5,0.945143178789214,0.45,NA,NA,NA,0.5,0.45
"nt","tl2.50_gl1.00_pr1.00_c50","model12",0.368940096271206,0.106391752721934,9,2.5,1,50,50,1,0.9,0.99969193876477,554.778398762022,0.00448348404130163,383.610080658732,10,0,2.8324892774446,0.95,NA,NA,NA,0,0.95
"nt","tl2.50_gl1.00_pr1.00_c50","model2",0.400049459965055,0.0746507613685585,10,2.5,1,50,50,1,1,0.99931858778458,712.864147798795,0.00625010598228809,454.258378535877,10,0.5,12.3793323919585,0.45,NA,NA,NA,0.5,0.45
"nt","tl2.50_gl1.00_pr1.00_c50","model3",0.389898839529603,0.105861150696403,10,2.5,1,50,50,1,1,0.999357716654906,767.778049929105,0.00625194970181926,379.794647150406,10,0.5,1.90320215075227,0.45,0.7,0.0939351589724323,0.25,0.6,0.35
"nt","tl2.50_gl1.00_pr1.00_c50","model4",0.390484848442195,0.0953592646346843,10,2.5,1,50,50,1,1,0.999381100949006,777.868749335067,0.00613027231109635,380.722251231088,10,0.5,1.43897151741554,0.45,NA,NA,NA,0.5,0.45
"nt","tl2.50_gl1.00_pr1.00_c50","model5",0.387678918887303,0.106828241232448,10,2.5,1,50,50,1,1,0.999465797810817,764.353369358732,0.00553426473943321,424.569918875769,10,0.6,1.38479544736204,0.35,NA,NA,NA,0.7,0.25
"nt","tl2.50_gl1.00_pr1.00_c50","model6",0.400255952619154,0.0693991552265447,10,2.5,1,50,50,1,1,0.999345007953996,773.057113315785,0.00614637758566274,410.985266711213,10,0.6,5.18500035564242,0.35,NA,NA,NA,0.6,0.35
