Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
1494	-3081.965	-3247.607	165.6413	0.05405742	0.8682729	1.112439	4.634687
1500	-3082.597	-3248.535	165.9373	0.06078289	0.6809838	1.095368	4.574949
1506	-3067.628	-3233.518	165.8903	0.05627388	0.738575	1.093572	4.574949
1512	-3065.246	-3231.193	165.9468	0.05818912	0.813017	1.08982	4.504063
1518	-3067.653	-3234.646	166.9926	0.06362825	0.8306137	1.065884	3.911233
1524	-3062.573	-3229.165	166.5922	0.06384305	0.9285472	0.9738238	4.136914
1530	-3068.888	-3235.358	166.4702	0.06168313	0.8453222	0.9942825	4.242659
1536	-3085.687	-3252.068	166.3803	0.0615001	0.9361248	0.9942825	4.242659
1542	-3086.232	-3253.207	166.9755	0.06513605	0.9215357	1.165168	3.811491
1548	-3081.693	-3249.062	167.3686	0.07060457	0.8307111	1.256426	3.58023
1554	-3073.946	-3241.43	167.4842	0.0682382	1.009282	0.9404875	3.594811
1560	-3067.231	-3234.957	167.7259	0.06739811	0.7825863	0.9240241	3.594811
1566	-3072.149	-3239.805	167.656	0.07357046	0.836241	0.952976	3.584662
1572	-3088.444	-3255.491	167.0466	0.06988956	0.8619408	0.9786496	3.909014
1578	-3072.954	-3239.9	166.9456	0.06313366	0.8885042	0.9541176	3.969698
1584	-3085.919	-3252.771	166.8527	0.06537799	0.9543236	0.947893	3.987617
1590	-3104.276	-3272.306	168.0303	0.06845589	0.6837756	1.145687	3.341007
1596	-3090.024	-3258.001	167.9766	0.06845589	0.7319497	1.145687	3.34644
1602	-3082.427	-3250.756	168.3291	0.07251463	0.718206	1.14561	3.143283
1608	-3093.696	-3262.055	168.3592	0.08280859	0.9162782	1.026622	3.075382
1614	-3075.691	-3243.744	168.0535	0.07592821	0.9344602	1.169329	3.165745
1620	-3066.692	-3235.277	168.5857	0.07564592	0.8315611	1.247087	2.861313
1626	-3073.046	-3241.243	168.1965	0.0785707	0.9249262	1.108244	3.121082
1632	-3071.055	-3239.621	168.566	0.0785733	0.9001075	1.129727	2.901481
1638	-3076.877	-3244.809	167.9315	0.07282654	0.9511264	1.112364	3.263654
1644	-3075.037	-3243.257	168.2202	0.07287394	0.77815	1.093395	3.20496
1650	-3082.502	-3249.762	167.2604	0.06539312	0.9709209	1.231388	3.579788
1656	-3069.886	-3237.35	167.464	0.06775154	0.9096739	1.140241	3.548535
1662	-3074.631	-3242.123	167.4922	0.06775154	0.757591	1.050296	3.670812
1668	-3066.441	-3233.509	167.068	0.06775154	0.9786594	1.062255	3.783105
1674	-3073.311	-3240.283	166.9729	0.06443699	0.8466154	1.019194	3.939799
1680	-3068.582	-3236.195	167.6138	0.07160986	1.02374	0.987731	3.481443
1686	-3072.054	-3240.566	168.512	0.08855322	0.9056109	0.9296677	3.044927
1692	-3089.049	-3257.767	168.7187	0.08556902	0.9561848	1.044123	2.822751
1698	-3069.187	-3237.706	168.5196	0.07859195	1.069781	1.136629	2.822751
1704	-3077.352	-3245.383	168.0316	0.07381536	1.085835	1.150936	3.100981
1710	-3084.756	-3250.915	166.1584	0.05759661	1.035327	1.064093	4.274815
1716	-3076.383	-3242.564	166.1812	0.05854943	1.005267	1.032866	4.29609
1722	-3072.628	-3237.804	165.1755	0.05364873	0.9559808	1.08671	4.860836
1728	-3075.54	-3240.672	165.132	0.05404785	0.966915	1.118895	4.860836
1734	-3083.15	-3247.963	164.8126	0.05496999	0.9551623	1.037791	5.089478
1740	-3080.249	-3244.98	164.7307	0.05496999	0.9551623	1.004075	5.153542
1746	-3069.647	-3235.372	165.7252	0.05771569	0.9835595	1.075829	4.541646
1752	-3081.142	-3246.769	165.6263	0.05560758	0.7687807	1.180952	4.658243
1758	-3080.365	-3245.866	165.5008	0.05560758	0.9844061	1.093729	4.658243
1764	-3071.649	-3236.511	164.862	0.05364482	0.895968	1.180627	5.016266
1770	-3065.606	-3230.465	164.8595	0.05618474	0.9132138	1.014567	5.098899
1776	-3073.56	-3239.215	165.6549	0.05696822	0.7376332	1.036685	4.738806
1782	-3076.587	-3241.498	164.9106	0.05548608	1.005374	1.135406	4.952697
1788	-3080.587	-3245.333	164.746	0.05223927	0.9983019	1.219802	5.003011
1794	-3084.844	-3249.772	164.9278	0.05223927	1.042155	1.125938	4.929749
1800	-3088.143	-3252.565	164.422	0.05223927	0.8227418	1.043864	5.376127
1806	-3079.248	-3243.632	164.3849	0.05185939	0.8329025	1.071384	5.376127
1812	-3075.765	-3243.012	167.2466	0.0679111	0.8059618	1.000901	3.814055
1818	-3068.895	-3236.093	167.1986	0.06586157	0.8626503	0.9952581	3.814055
1824	-3064.47	-3231.081	166.6103	0.06193	0.9016002	1.045134	4.102403
1830	-3066.304	-3232.276	165.9721	0.06117079	1.027448	1.026898	4.403599
1836	-3079.809	-3245.759	165.9497	0.05717206	0.9571157	1.123553	4.403599
1842	-3082.109	-3248.75	166.6412	0.05989473	0.750017	1.082186	4.149123
1848	-3077.967	-3244.341	166.374	0.05974751	0.9773728	1.013448	4.212977
1854	-3070.951	-3237.861	166.9103	0.06350286	0.8513736	1.067839	3.945625
1860	-3069.057	-3235.88	166.8227	0.06475708	0.8513736	1.025942	4.018974
1866	-3077.539	-3244.256	166.7172	0.06475708	0.7868632	0.8997907	4.186733
1872	-3071.439	-3236.72	165.2804	0.05534274	0.7692888	1.111273	4.89024
1878	-3066.907	-3232.288	165.3807	0.05428766	0.7547987	1.064412	4.868789
1884	-3073.612	-3238.728	165.1163	0.05428766	1.095897	0.9912351	4.868789
1890	-3083.93	-3248.843	164.9135	0.05395726	0.9749239	1.067852	5.0064
1896	-3079.772	-3245.116	165.3439	0.05652352	0.8583516	1.061818	4.833381
1902	-3080.637	-3245.715	165.0775	0.0545465	0.9519418	1.085786	4.917672
1908	-3084.55	-3250.379	165.8292	0.05633839	0.981835	0.9901536	4.533123
