Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	tree_length
1278	-1150.528	-1305.156	154.6277	1.857535	0.6667594	0.7440467	9.939931
1284	-1140.181	-1295.76	155.5789	1.857351	0.8843392	0.7590661	9.321221
1290	-1145.874	-1301.529	155.6555	1.954027	0.687794	0.7753412	9.321221
1296	-1150.832	-1306.308	155.4759	1.595574	0.8277042	1.183831	9.321221
1302	-1148.011	-1303.31	155.2985	1.818243	1.044322	0.8450444	9.361559
1308	-1131.781	-1287.288	155.5068	1.720461	0.8449603	0.933852	9.361559
1314	-1138.681	-1298.384	159.7035	1.627985	0.7826921	0.869679	7.243438
1320	-1145.241	-1298.944	153.7028	1.74965	0.7396784	0.8762637	10.38015
1326	-1141.994	-1298.191	156.1963	1.74965	0.9436901	0.6975177	9.050998
1332	-1147.265	-1304.275	157.0095	1.615569	0.8986544	0.7736436	8.676945
1338	-1135.004	-1289.919	154.9143	1.837185	0.6859387	1.105034	9.602473
1344	-1155.643	-1303.54	147.897	1.802308	0.897245	1.000244	13.2398
1350	-1150.056	-1300.315	150.2583	1.885605	0.6881196	1.037665	12.05253
1356	-1145.647	-1298.712	153.0653	1.767752	0.9187867	0.8724365	10.61547
1362	-1161.236	-1314.407	153.1716	1.91979	0.8037524	0.7227059	10.61547
1368	-1152.75	-1304.987	152.2365	1.971945	1.258579	0.7227059	10.84196
1374	-1163.708	-1311.213	147.5048	1.971945	0.82059	0.7227059	13.53611
1380	-1162.072	-1314.363	152.2917	1.863001	0.7230724	0.7227059	11.14676
1386	-1147.628	-1301.474	153.8452	1.863001	1.221351	0.8657876	10.00081
1392	-1153.442	-1309.304	155.8621	1.947756	0.6634248	0.8657876	9.18022
1398	-1150.879	-1305.242	154.3633	1.701274	1.206256	0.9418236	9.781142
1404	-1153.616	-1311.291	157.6749	1.820325	0.9832539	0.8121145	8.14966
1410	-1138.28	-1294.29	156.01	1.68799	0.8222808	0.834517	9.17655
1416	-1133.793	-1292.797	159.004	1.736631	0.9328321	0.898788	7.465581
1422	-1138.374	-1295.726	157.3522	1.736631	0.9076101	0.9922883	8.311068
1428	-1141.907	-1296.482	154.5756	1.872443	0.9076101	0.9777879	9.716818
1434	-1143.127	-1294.862	151.7354	1.980579	0.850794	0.820805	11.26269
1440	-1161.905	-1316.06	154.1552	1.588629	1.212508	0.7128894	10.06424
1446	-1159.488	-1316.075	156.5867	1.740514	1.207573	0.7322444	8.692653
1452	-1144.439	-1299.022	154.5831	1.664374	0.9219719	0.9743796	9.816778
1458	-1142.213	-1297.862	155.6487	1.846724	0.8794254	0.8574071	9.241991
1464	-1145.957	-1301.101	155.1432	1.749799	0.9956975	1.068239	9.387954
1470	-1153.792	-1310.03	156.2377	1.761113	0.9385132	1.042329	8.846889
1476	-1151.491	-1303.51	152.0189	1.903132	0.7002251	0.9711948	11.15232
1482	-1154.758	-1308.245	153.4861	1.713138	0.7823867	0.9821122	10.43634
1488	-1164.496	-1317.032	152.5361	1.835339	0.9119627	1.058816	10.76362
1494	-1165.84	-1318.094	152.2538	1.987208	0.9119627	0.7781765	10.97776
1500	-1159.904	-1318.719	158.8149	1.707647	0.6534906	1.271855	7.527459
1506	-1168.095	-1324.335	156.2404	1.791324	0.796532	1.271855	8.78338
1512	-1161.334	-1315.915	154.5811	1.859641	1.166625	0.928722	9.610358
1518	-1140.663	-1295.14	154.4761	1.861939	0.9449176	0.8506696	9.82186
1524	-1149.335	-1307.18	157.8453	1.677448	1.149024	0.9668732	7.965128
1530	-1142.752	-1298.011	155.2593	1.77032	1.128824	1.088201	9.235082
1536	-1144.193	-1299.868	155.6751	1.570268	1.132915	0.9226917	9.206308
1542	-1157.529	-1308.58	151.0506	1.708811	0.7727179	0.953205	11.73393
1548	-1147.084	-1298.496	151.4126	1.811963	0.9919889	0.6868917	11.51265
1554	-1146.656	-1299.906	153.2506	1.983401	0.8382746	1.050576	10.35353
1560	-1157.7	-1314.08	156.3795	1.725965	0.7076986	1.217842	8.817024
1566	-1147.403	-1304.305	156.9021	1.619591	0.6555002	0.8855123	8.796717
1572	-1147.425	-1303.322	155.8967	1.635955	0.8537159	1.125593	9.094363
1578	-1153.391	-1310.319	156.9282	1.613245	0.7895999	1.097084	8.608015
1584	-1158.069	-1314.317	156.2478	1.690134	1.048562	0.9393845	8.875411
1590	-1151.264	-1303.101	151.8366	1.957382	0.9163468	0.9688501	11.11104
1596	-1149.571	-1300.388	150.8172	2.072468	0.7337956	1.153358	11.58095
1602	-1140.464	-1296.551	156.0872	1.826343	1.074648	1.153358	8.76139
1608	-1142.361	-1296.955	154.5949	1.874367	0.9313621	1.042922	9.658857
1614	-1149.461	-1303.013	153.5524	1.874367	0.9383598	0.8917446	10.28337
1620	-1142.731	-1296.049	153.318	1.850882	1.197338	0.8917446	10.28337
1626	-1142.505	-1298.55	156.0449	1.715175	0.6861087	1.046273	9.100582
1632	-1137.858	-1293.901	156.0431	1.805601	1.031428	0.601022	9.100582
1638	-1141.063	-1297.748	156.6844	1.612381	0.8026946	0.8955218	8.837787
1644	-1151.322	-1309.059	157.7371	1.670069	0.8026946	0.9872589	8.199305
1650	-1147.472	-1304.283	156.8111	1.697567	0.6110416	1.062729	8.730028
