scenario,modelID,gridTag,tree_length,gain_loss,n_char,part_rate,median_cid,iqr_cid,n_reps
mk,M1 (Mk baseline),tl1.50_gl0.10_c200,1.5,0.1,200,NA,0.15659268310912056,0.040397195654576196,10
mk,M10,tl1.50_gl0.10_c200,1.5,0.1,200,NA,0.16181916958090264,0.03482811589986601,10
mk,M1 (Mk baseline),tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.5825899166029086,0.09767114013433031,10
mk,M6,tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.5842614784719211,0.09816499976429183,10
mk,M5,tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.5830316226885311,0.09943172071129436,10
mk,M9,tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.5872108147560067,0.09783235032047577,10
mk,M11,tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.5485877804452496,0.09967562719604339,10
mk,M8 (NT baseline),tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.5874243051593495,0.1004747788011755,10
mk,M2,tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.5837062871721309,0.098103369116741,10
mk,M12,tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.572012033623494,0.09724413488866179,10
mk,M7,tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.589657973239372,0.10022165295843422,10
mk,M10,tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.586157228702323,0.097896600932735,10
mk,M4,tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.5836355760146289,0.09844468365073,10
mk,M3,tl1.50_gl0.10_c25,1.5,0.1,25,NA,0.5821389830575273,0.09852025176646972,10
mk,M6,tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.41518712140518055,0.04170353208641148,10
mk,M2,tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.4168621011438527,0.04771488504130794,10
mk,M12,tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.4113490422087741,0.05151697028903135,10
mk,M9,tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.41734021145690414,0.04215335711544549,10
mk,M10,tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.4163599379962263,0.04287130888717228,10
mk,M8 (NT baseline),tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.4184262979663177,0.043056788669898594,10
mk,M1 (Mk baseline),tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.4148073844254059,0.05027563878018898,10
mk,M3,tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.41585224529943987,0.049302889644575576,10
mk,M7,tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.4198694015657057,0.041024428407743785,10
mk,M11,tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.3954491713404955,0.055798975182559774,10
mk,M5,tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.41714407030022904,0.0405142478558882,10
mk,M4,tl1.50_gl0.10_c50,1.5,0.1,50,NA,0.4162953786607272,0.038536865913294194,10
mk,M7,tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.2703124721715688,0.034071023487581065,10
mk,M8 (NT baseline),tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.2668643725663311,0.032489771271030365,10
mk,M2,tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.2660626736427845,0.03379835281899313,10
mk,M9,tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.2667778231375161,0.03584038478197443,10
mk,M4,tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.2670539664856115,0.031742573922678874,10
mk,M3,tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.2651765042104108,0.03176325449253803,10
mk,M12,tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.26449977373100375,0.02986203613224342,10
mk,M6,tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.26926596640752654,0.030830361185228028,10
mk,M11,tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.25463160221784376,0.0225709093638011,10
mk,M10,tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.2705338969061399,0.03451286045062579,10
mk,M1 (Mk baseline),tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.2670777849220016,0.030199772796643543,10
mk,M5,tl1.50_gl0.25_c100,1.5,0.25,100,NA,0.2683007083493355,0.03211930139070451,10
mk,M12,tl1.50_gl0.25_c200,1.5,0.25,200,NA,0.18247488449258975,0,1
mk,M9,tl1.50_gl0.25_c200,1.5,0.25,200,NA,0.16221921798745567,0.03540113285767177,10
mk,M8 (NT baseline),tl1.50_gl0.25_c200,1.5,0.25,200,NA,0.16185046869073827,0.037281592035343175,10
mk,M4,tl1.50_gl0.25_c200,1.5,0.25,200,NA,0.15838332754232082,0.038673158899856036,10
mk,M5,tl1.50_gl0.25_c200,1.5,0.25,200,NA,0.16047292706998229,0.03742925936607605,10
mk,M3,tl1.50_gl0.25_c200,1.5,0.25,200,NA,0.15965059879054705,0.03737687824917757,10
mk,M7,tl1.50_gl0.25_c200,1.5,0.25,200,NA,0.1608240439421873,0.028416036215088314,9
