Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	tree_length
1074	-681.1128	-851.3545	170.2417	0.5182944	1.687861	1.138652	0.8386372
1080	-678.5362	-849.5408	171.0046	0.07962999	0.9716703	1.217085	1.131418
1086	-686.0598	-854.8298	168.77	1.924803	1.626803	0.7588469	1.313
1092	-674.6245	-845.5071	170.8826	0.3300805	1.004722	0.9732688	1.203425
1098	-674.783	-844.459	169.676	0.2681333	2.22181	0.9732688	1.332521
1104	-677.5419	-848.2612	170.7192	0.08104312	1.461328	0.9046921	1.232596
1110	-674.4751	-845.39	170.9149	0.3002422	0.7978763	1.099039	1.267933
1116	-674.2197	-845.6358	171.4161	0.02692058	1.055157	0.6157241	1.267933
1122	-675.9579	-846.9081	170.9502	0.01606651	1.055157	1.092487	1.267933
1128	-668.6663	-839.5382	170.8718	0.101014	1.344591	1.063962	1.035011
1134	-685.2584	-855.6408	170.3824	0.3787659	1.102359	1.51339	1.035011
1140	-669.8184	-840.4469	170.6284	0.4654007	1.009382	1.207814	1.096906
1146	-678.6188	-849.1361	170.5173	0.4981402	1.070126	1.225489	1.096906
1152	-674.7122	-845.8218	171.1096	0.3874015	0.7964451	0.8992862	1.200042
1158	-679.7869	-849.6733	169.8864	1.833187	0.4947741	1.161829	0.9869479
1164	-675.0924	-845.6097	170.5173	0.6193541	1.308222	1.035441	0.9331081
1170	-675.2884	-845.7445	170.4561	0.6261512	0.9883806	1.147004	1.180212
1176	-669.3611	-839.5653	170.2042	0.673925	1.320173	1.206556	1.011241
1182	-666.763	-836.932	170.169	0.5510063	1.192046	1.662621	0.8202019
1188	-684.313	-854.1116	169.7987	0.3431343	1.148464	2.283927	0.8202019
1194	-683.7865	-852.5179	168.7314	1.471967	1.116997	2.283927	0.7797559
1200	-674.5749	-844.6041	170.0292	1.083539	0.979098	1.60695	0.60791
1206	-689.7051	-858.7097	169.0046	1.083539	0.7314754	2.875317	0.6054751
1212	-660.5165	-830.8301	170.3137	0.4401612	1.317593	1.389178	0.9544241
1218	-670.4904	-841.5005	171.0102	0.4850593	0.6259205	0.8983871	1.332155
1224	-675.8142	-845.6496	169.8355	0.2008263	2.04864	1.024207	1.332155
1230	-668.9141	-839.508	170.5939	0.3708141	1.212443	1.024207	1.195304
1236	-667.7201	-838.6686	170.9485	0.02499018	1.212443	1.01546	1.195304
1242	-678.0264	-848.7897	170.7632	0.5553369	0.6223136	1.019851	1.378313
1248	-665.0169	-835.2333	170.2164	0.4870188	1.424825	0.9673643	1.289589
1254	-683.3903	-853.6825	170.2922	0.9863843	1.085389	1.145336	0.897525
1260	-685.2885	-855.953	170.6645	0.1802821	1.296685	0.8717513	1.35189
1266	-674.5926	-845.9134	171.3208	0.1291785	0.7591378	0.7977339	1.35189
1272	-671.9613	-843.04	171.0787	0.1027434	0.9129056	1.180195	1.129868
1278	-668.3634	-837.5443	169.1808	1.940159	1.281889	0.874546	1.129868
1284	-671.6493	-842.4478	170.7985	0.7173215	0.8586833	1.125232	0.9074295
1290	-671.7641	-841.7312	169.9671	0.4225285	1.714326	1.504385	0.8143229
1296	-674.8308	-845.8869	171.056	0.4823305	0.6191325	1.37874	0.8466138
1302	-670.5849	-839.4952	168.9104	1.975008	0.9889728	1.528612	1.009345
1308	-672.3138	-842.3753	170.0615	0.5829227	1.593568	1.274106	0.9155265
1314	-660.9748	-831.1618	170.187	0.9804676	1.278295	1.049941	0.9155265
1320	-679.6863	-849.4613	169.775	1.071871	1.613379	1.053412	0.9155265
1326	-680.8769	-850.3689	169.4921	1.2984	0.6446117	2.268986	0.5356788
1332	-673.8552	-843.8921	170.0369	0.7195287	0.8771639	1.993068	0.7464316
1338	-672.152	-842.7576	170.6056	0.7195287	0.8325474	1.174367	1.076571
