Iteration	Posterior	Likelihood	Prior	tree_length
2076	-24.92435	-197.8424	172.9181	1.360529
2082	-20.47824	-193.4567	172.9785	1.312269
2088	-16.88458	-189.7453	172.8608	1.405432
2094	-25.69194	-198.4765	172.7845	1.463956
2100	-31.02216	-204.3168	173.2946	1.036024
2106	-18.59376	-191.9161	173.3224	1.008852
2112	-21.50082	-194.8417	173.3409	0.9903482
2118	-24.8743	-198.3103	173.436	0.888534
2124	-26.46062	-199.2543	172.7937	1.456969
2130	-22.59031	-195.5213	172.931	1.350286
2136	-12.30255	-185.3323	173.0297	1.270473
2142	-7.69345	-180.7189	173.0254	1.274032
2148	-9.178969	-182.4192	173.2403	1.087403
2154	-26.69175	-199.932	173.2403	1.087403
2160	-19.70606	-193.2593	173.5533	0.7351705
2166	-12.6851	-186.088	173.4029	0.9254456
2172	-13.72566	-186.9462	173.2206	1.105506
2178	-11.28933	-184.9205	173.6312	0.56144
2184	-11.3854	-184.7999	173.4145	0.9127133
2190	-1.955807	-175.5844	173.6286	0.4341346
2196	-4.951927	-178.4817	173.5298	0.7701693
2202	-18.57047	-191.9404	173.3699	0.960594
2208	-30.11468	-203.3757	173.261	1.068083
2214	-11.10497	-184.0194	172.9145	1.363395
2220	-5.051037	-178.6338	173.5828	0.6852607
2226	-8.41512	-181.8908	173.4756	0.8415817
2232	-1.722129	-175.3268	173.6047	0.6406826
2238	-4.356554	-177.9613	173.6047	0.6406826
2244	-3.886405	-177.3055	173.4191	0.9076587
2250	-3.992495	-177.4787	173.4862	0.8283688
2256	-3.595557	-177.0875	173.4919	0.8211618
2262	-13.51704	-186.6582	173.1411	1.17624
2268	-16.37055	-189.6986	173.3281	1.003204
2274	-6.6304	-179.9585	173.3281	1.003204
2280	-8.761285	-182.2913	173.53	0.7698284
2286	-8.149768	-181.7177	173.5679	0.7114264
2292	-16.36424	-189.8603	173.4961	0.8158119
2298	-7.166456	-180.7154	173.5489	0.741935
2304	-5.472178	-179.0776	173.6054	0.6390381
2310	-10.7342	-184.1824	173.4482	0.874452
2316	-15.52593	-189.157	173.6311	0.5616528
2322	-11.44894	-184.5955	173.1466	1.171504
2328	-10.47958	-183.8693	173.3897	0.9396915
2334	-6.998424	-180.5952	173.5967	0.6579693
2340	-7.358402	-180.5806	173.2222	1.104055
2346	-10.69168	-184.1419	173.4502	0.8721344
2352	-6.426842	-179.877	173.4502	0.8721344
2358	-4.195478	-177.8332	173.6377	0.5150279
2364	-3.117169	-176.7552	173.638	0.5079666
2370	-11.63443	-185.1289	173.4944	0.8179413
2376	-7.699588	-180.9929	173.2933	1.037271
2382	-16.58542	-190.2213	173.6358	0.5346214
2388	-4.495304	-177.9839	173.4886	0.825418
2394	-12.81594	-186.2287	173.4127	0.9146761
2400	-7.58936	-180.5818	172.9924	1.300991
2406	-12.84811	-185.8405	172.9924	1.300991
2412	-17.34735	-190.7926	173.4452	0.8779423
2418	-17.56064	-191.0009	173.4403	0.8836673
2424	-8.357121	-181.6639	173.3068	1.024177
2430	-5.42232	-178.83	173.4077	0.9202392
2436	-15.44063	-189.0552	173.6146	0.6164318
2442	-10.74915	-184.1785	173.4294	0.8961037
2448	-16.94349	-190.3729	173.4294	0.8961037
2454	-12.9701	-186.4422	173.4721	0.84598
2460	-15.23446	-188.3361	173.1017	1.210212
2466	-11.70564	-185.065	173.3593	0.971524
2472	-16.67088	-189.8189	173.148	1.170255
2478	-16.98492	-190.5052	173.5203	0.7834973
2484	-8.066601	-181.4961	173.4295	0.8959124
2490	-26.42511	-199.3636	172.9385	1.344325
2496	-27.43946	-200.3642	172.9248	1.355243
2502	-23.92459	-197.4514	173.5268	0.7744092
2508	-19.21208	-192.5654	173.3533	0.9776943
2514	-17.94132	-191.1731	173.2318	1.095245
2520	-18.66574	-192.0417	173.3759	0.9542859
2526	-17.05916	-190.4463	173.3872	0.9423719
2532	-20.30435	-193.6004	173.2961	1.034611
2538	-25.16575	-198.1325	172.9668	1.321705
2544	-19.19774	-192.6738	173.4761	0.8410783
2550	-18.38294	-191.859	173.4761	0.8410783
2556	-20.11551	-193.1722	173.0567	1.248141
2562	-8.644511	-182.0399	173.3954	0.9336067
2568	-10.90437	-184.4429	173.5385	0.7575043
2574	-0.3210004	-173.9186	173.5976	0.6561093
2580	-2.495131	-176.1332	173.6381	0.5063126
2586	-0.8268936	-174.1874	173.3605	0.9703013
2592	2.230315	-170.8194	173.0497	1.253902
2598	-2.752505	-176.0977	173.3452	0.9859671
2604	-10.06806	-183.2231	173.155	1.164113
2610	-13.6407	-187.2347	173.594	0.6637118
2616	-29.41281	-202.8851	173.4723	0.8456927
2622	-7.605151	-180.8546	173.2495	1.078865
2628	-5.142392	-178.7686	173.6262	0.5811786
2634	-8.457766	-181.8214	173.3637	0.9670742
2640	-8.503256	-182.0464	173.5432	0.7506352
2646	-10.75256	-184.0596	173.307	1.023967
2652	-17.07419	-190.0991	173.0249	1.274415
2658	-17.01892	-189.6519	172.633	1.576876
2664	-17.01233	-190.6467	173.6344	0.5443943
2670	-9.257546	-182.5422	173.2847	1.045579
2676	-1.282653	-174.5488	173.2661	1.063227
2682	0.2958865	-173.3245	173.6203	0.411529
2688	-9.578563	-183.1937	173.6152	0.4003301
2694	-3.739269	-177.3698	173.6306	0.5640248
2700	-7.962161	-181.2874	173.3252	1.006035
2706	-11.59475	-184.9978	173.403	0.925341
2712	-11.78029	-185.3689	173.5886	0.6743549
2718	-17.73786	-191.3637	173.6259	0.5824178
2724	-12.88658	-186.2158	173.3292	1.0021
2730	-9.963042	-183.2922	173.3292	1.0021
2736	-17.12884	-190.6315	173.5027	0.8072094
2742	-19.11071	-192.4088	173.2981	1.032627
2748	-3.429965	-177.0663	173.6363	0.5306738
2754	-2.412007	-175.8048	173.3928	0.9364108
2760	0.8173204	-172.8161	173.6334	0.5504027
2766	1.394677	-172.1956	173.5903	0.671024
2772	-17.18222	-190.7325	173.5503	0.7397747
2778	-10.55318	-183.9033	173.3501	0.9810015
2784	-13.51992	-186.2561	172.7362	1.50042
2790	-15.66076	-188.3969	172.7362	1.50042
2796	-18.44888	-191.5312	173.0823	1.22662
2802	-6.999557	-180.1335	173.1339	1.182507
2808	-10.94306	-184.5591	173.6161	0.4021683
2814	-6.86018	-180.331	173.4709	0.8474521
2820	-3.430564	-176.9014	173.4709	0.8474521
2826	-17.30332	-190.6202	173.3169	1.01426
2832	-14.7928	-188.187	173.3942	0.9348323
