Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
798	-1435.678	-1600.834	165.156	1.164745	1.040652	1.099014	0.4486251	1.141494	1.034065	3.716446
804	-1428.315	-1592.901	164.5862	1.189534	0.8411141	0.873903	0.5048675	1.253906	1.034065	4.175303
810	-1414.986	-1580.062	165.0758	1.020773	0.9503854	0.6721534	0.6613902	1.253906	1.304208	3.800287
816	-1424.038	-1585.981	161.9428	1.160134	0.8467787	1.209369	0.9874471	1.333038	1.18012	5.085706
822	-1423.326	-1584.353	161.0267	0.885238	0.8848537	1.209369	1.006902	0.737372	1.082909	6.088402
828	-1420.271	-1581.498	161.2272	1.09404	1.00609	0.8436326	1.007207	1.13317	1.24965	5.69106
834	-1412.153	-1572.731	160.5771	0.9648257	1.00609	1.221629	1.612436	1.13317	1.663606	5.351277
840	-1425.963	-1587.735	161.7717	0.9441773	0.9084391	1.221629	1.355854	1.152719	1.527814	4.961747
846	-1423.636	-1583.969	160.3321	0.9087023	0.8906057	1.690081	1.370686	1.524604	1.113705	5.542985
852	-1428.963	-1589.929	160.9664	1.039294	1.018111	1.690081	1.165395	1.32646	1.044097	5.312137
858	-1420.884	-1583.513	162.6291	1.282065	1.151903	1.690081	1.054135	1.590771	2.066459	3.497114
864	-1423.029	-1586.382	163.3528	1.266137	1.156185	1.690081	1.092168	1.590771	1.315992	3.497114
870	-1417.784	-1581.014	163.2303	0.9453006	0.9045444	1.690081	0.9927081	2.125098	1.698899	3.423998
876	-1414.64	-1576.696	162.0561	1.105826	1.008636	1.723774	1.11419	2.128311	1.984402	3.695012
882	-1410.204	-1573.794	163.5895	1.180388	1.073446	1.167136	0.8995462	1.446316	2.150382	3.471372
888	-1419.289	-1582.779	163.4902	1.027455	0.9673701	1.167136	1.054606	1.446316	1.344404	4.053025
894	-1422.277	-1584.851	162.5745	0.7820095	1.006986	1.167136	0.7515485	1.351281	1.685013	4.717263
900	-1416.15	-1578.102	161.9525	1.172059	1.005844	1.170057	1.335603	1.523724	1.134654	4.732412
906	-1425.148	-1587.775	162.6274	1.31305	0.8395168	1.170057	0.9678478	0.7822998	1.498927	4.787284
912	-1408.308	-1571.276	162.9678	0.882901	0.9902777	0.9168627	1.128827	1.207086	0.9747313	4.857957
918	-1431.939	-1594.862	162.9233	0.882901	1.012421	1.185673	0.9949443	1.207086	1.645763	4.418789
924	-1419.413	-1580.642	161.2291	1.203143	1.001946	0.9188117	1.279143	1.316154	1.375038	5.272155
930	-1428.228	-1588.374	160.1459	1.157555	0.8619791	0.9188117	1.330051	1.316154	2.02082	5.586896
936	-1431.542	-1593.552	162.0107	0.9352899	0.8147589	0.75413	1.256631	1.240134	1.043818	5.419279
942	-1425.414	-1589.929	164.5151	1.061185	0.9667312	0.8092058	0.6180641	0.6798216	0.8373789	4.623942
948	-1423.357	-1587.844	164.4877	0.8455787	1.104478	0.8412236	0.8620722	0.7743631	0.4156124	4.711118
