Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
186	-2100.175	-2365.94	265.7656	0.942793	1.34896e-05	0.00132534	3.36112e-07	0.00105862	0.000813986	0.000390725	0.000258192	7.09805e-05	0.00029766	0.00284956	0.000923756	0.000653409	0.00229686	0.00496108	0.000467996	0.000162985	0.000476937	0.00215348	0.00136437	0.0010445	0.000401815	0.00854902	0.00850373	0.000141238	0.0033885	0.000163265	0.00254698	0.000659644	0.000519039	0.00185932	0.000360839	0.00189935	0.0026681	0.00291886	0.00104303	0.5690371
192	-2103.009	-2368.76	265.7507	0.942184	2.93039e-06	0.000734242	5.72628e-07	0.0005128	0.000739611	0.00148467	0.0003087	0.000139657	0.000779899	0.0037256	0.00124254	0.000568117	0.00237312	0.00420647	0.0011394	0.000879163	0.00279928	0.00312309	0.00145197	0.00191695	0.000890444	0.00487523	0.00408735	0.000278709	0.00459696	7.92038e-05	0.000664638	0.000844251	0.000295259	0.00333733	7.71203e-05	0.0042857	0.0033747	0.0012875	0.000712774	0.6167496
198	-2101.898	-2367.663	265.7646	0.939653	1.27761e-05	0.00073227	5.71089e-07	0.000511422	0.000737624	0.00148068	0.00030787	0.000139282	0.000777803	0.00371559	0.0012392	0.000566591	0.00236675	0.00419517	0.00113634	0.000876801	0.00279176	0.0031147	0.00144807	0.00472842	0.000656478	0.00486213	0.00407637	0.000277961	0.00458461	7.8991e-05	0.00128148	0.000841983	0.000294466	0.00280157	7.69131e-05	0.00427418	0.00336563	0.00128404	0.000710859	0.5731031
204	-2116.55	-2382.309	265.759	0.938247	1.2757e-05	0.000731174	5.70235e-07	0.000510656	0.00073652	0.00147847	0.000307409	0.000139073	0.00077664	0.00371003	0.00123734	0.000565743	0.00236321	0.00418889	0.00133417	0.000875489	0.00278758	0.00311004	0.0014459	0.00472134	0.000655496	0.00485486	0.00407027	0.000326353	0.00457775	9.7088e-05	0.00127956	0.000840723	0.000294025	0.00279738	7.6798e-05	0.00426779	0.00459046	0.00128212	0.000709795	0.5926989
210	-2103.988	-2369.749	265.762	0.942664	3.68669e-06	0.000734616	5.72919e-07	0.000513061	0.000739988	0.00148543	0.000308857	0.000139728	0.000780296	0.0037275	0.00124317	0.000568407	0.00237433	0.00200395	0.00134045	0.000879611	0.0028007	0.00312468	0.00145271	0.00474357	0.000658582	0.00487772	0.00153084	0.000278994	0.0045993	0.000210413	0.00128558	0.000844682	0.00029541	0.00281055	7.71596e-05	0.00428788	0.00461207	0.00128816	0.000713137	0.5826785
216	-2099.66	-2365.417	265.7578	0.94424	2.45955e-06	0.000735845	5.73877e-07	0.000513919	0.000741225	0.00148791	0.000309373	0.000139962	0.000781601	0.00242021	0.00224312	0.000569357	0.0023783	0.000780055	0.00134269	0.000795699	0.00280539	0.00312991	0.00145514	0.0047515	0.000704182	0.00488587	0.0015334	0.000279461	0.00460699	0.000802815	0.00128773	0.000167051	0.000295904	0.00281525	7.72887e-05	0.00429505	0.00461979	0.00129031	0.00071433	0.5963676
222	-2102.06	-2367.823	265.7628	0.944171	4.05242e-06	0.00073579	5.73835e-07	0.000513881	0.00074117	0.0014878	0.00030935	0.000139951	0.000781543	0.00242004	0.00224296	0.000569315	0.00167889	0.000779997	0.00134259	0.000795641	0.00280518	0.00312967	0.00145503	0.00475115	0.00176259	0.00488551	0.00153328	0.00027944	0.00438372	0.000802755	0.00128764	0.000167039	0.000231854	0.00281504	7.72829e-05	0.00429473	0.00461944	0.00129022	0.000714277	0.5798175
228	-2106.444	-2372.205	265.7615	0.945131	4.05654e-06	0.000736539	5.74419e-07	0.000514403	0.000741924	0.00148932	0.000309665	0.000140094	0.000782338	0.00225692	0.00224524	0.000534191	0.0016806	0.000539198	0.000908574	0.00079645	0.00280803	0.00313286	0.00145651	0.00475599	0.00176439	0.00489048	0.00153484	0.000279725	0.00438818	0.000803572	0.00128895	0.000167209	9.30131e-05	0.00281791	7.73616e-05	0.0042991	0.00462414	0.00129153	0.000715003	0.5842279
234	-2109.668	-2375.421	265.7526	0.945215	4.0569e-06	0.000736604	5.7447e-07	0.000514449	0.00074199	0.00256269	0.000586181	0.000140106	0.00075259	0.00105853	0.00224544	0.000534238	0.00168075	0.000539246	0.000908655	0.000796521	0.00280828	0.00313314	0.00145664	0.00567791	0.000633138	0.00489091	0.00153498	0.000279749	0.00438857	0.000803643	0.00128906	0.000167224	9.30213e-05	0.00281816	7.73684e-05	0.00429948	0.00462455	0.00129164	0.000715067	0.6114799
240	-2097.444	-2363.197	265.7526	0.945049	4.05619e-06	0.000736475	5.74369e-07	0.000528404	0.00074186	0.00256224	0.000786862	0.000140082	0.000752458	0.00105834	0.00224505	0.000534145	0.00168046	0.000539151	0.000908495	0.000796381	0.00280779	0.00313259	0.00145638	0.00567691	0.000633027	0.00489006	0.00153471	0.0002797	0.0043878	0.000803502	0.00128884	0.000167194	9.3005e-05	0.00281766	3.79166e-05	0.00429873	0.00462374	0.00129142	0.000714941	0.6114799
246	-2113.689	-2379.429	265.7405	0.944681	4.05461e-06	0.000736188	5.74145e-07	0.000528198	0.000741571	0.00256124	0.000786555	0.000140027	0.000752165	0.00105793	0.00224417	0.000533937	0.00253991	0.000538941	0.000908141	0.000796071	0.0028067	0.00313137	0.00145582	0.0056747	0.000632781	0.00488815	0.00153411	0.000279591	0.00438609	0.0040868	0.00128834	0.000167129	9.29688e-05	0.000782631	0.00017488	0.00243985	0.00462194	0.00129091	0.000714663	0.6414961
252	-2093.298	-2359.07	265.7719	0.950897	4.08129e-06	0.000741032	5.77923e-07	0.000531674	0.000746451	0.00257809	0.000791731	0.000140948	0.000757114	0.000345145	0.00225894	0.00053745	0.00255662	0.000542488	0.000914117	0.000801309	0.00282517	0.00315197	0.00136489	0.00571204	0.000636945	0.00492032	0.00154421	0.000281431	0.00109186	0.000821692	0.00129681	0.000168229	9.35805e-05	0.000787781	0.00103092	0.0024559	0.00465236	0.00129941	0.000719366	0.5353073
258	-2092.219	-2357.979	265.7594	0.951458	4.0837e-06	0.000741469	5.78264e-07	0.000650055	0.000746891	0.00257961	0.000792198	0.000141031	0.000757561	0.000345349	0.00226027	0.000537767	0.00255813	0.000542807	0.000557802	0.000451012	0.00282683	0.00315383	0.00136569	0.00571541	0.00063732	0.00492322	0.00154512	0.000281597	0.0010925	0.000822177	0.00129758	0.000168328	9.36357e-05	0.000788246	0.00103152	0.00245735	0.0046551	0.00130017	0.00071979	0.5913719
264	-2108.31	-2374.064	265.7536	0.947623	8.2384e-06	0.00073848	2.69066e-06	0.000647435	0.000953375	0.00256921	0.000789005	0.000592583	0.000754507	0.000343957	0.00225116	0.000535599	0.00254781	0.000540619	0.000555553	0.000449193	0.00281544	0.00314112	0.00136019	0.00569237	0.000634751	0.00490337	0.00176087	0.000280462	0.0010881	0.000818862	0.00129235	0.000167649	9.24125e-05	0.000785068	0.00386721	0.00244745	0.00463633	0.00159717	0.000716888	0.6086438
