Iteration	Posterior	Likelihood	Prior	tree_length
2688	-739.8646	-912.0658	172.2011	1.880962
2694	-745.5533	-918.1286	172.5753	1.618839
2700	-744.7339	-917.4917	172.7579	1.484124
2706	-734.4385	-907.0071	172.5686	1.623666
2712	-728.4572	-901.2509	172.7938	1.456899
2718	-724.8197	-897.4363	172.6166	1.588873
2724	-727.7845	-900.5602	172.7757	1.470634
2730	-728.635	-901.2506	172.6156	1.589595
2736	-728.8457	-901.2465	172.4008	1.743048
2742	-736.3637	-909.4012	173.0376	1.264004
2748	-733.5416	-906.1245	172.5829	1.613344
2754	-735.1122	-907.5306	172.4183	1.730744
2760	-735.4665	-908.0287	172.5621	1.628352
2766	-727.9437	-900.5433	172.5996	1.601257
2772	-729.8046	-902.4734	172.6688	1.550552
2778	-727.251	-899.8528	172.6018	1.599637
2784	-733.1693	-905.7987	172.6294	1.579492
2790	-728.8663	-901.7238	172.8575	1.407991
2796	-729.2527	-901.7825	172.5298	1.651626
2802	-726.5605	-899.0392	172.4788	1.688042
2808	-741.4878	-913.7949	172.307	1.808333
2814	-737.8692	-909.9909	172.1217	1.93482
2820	-726.7751	-899.2109	172.4358	1.718462
2826	-724.9536	-897.5213	172.5677	1.624337
2832	-735.6289	-908.3102	172.6813	1.541292
2838	-727.1164	-899.8033	172.6869	1.537144
2844	-736.2108	-908.9505	172.7397	1.49782
2850	-731.0167	-903.6565	172.6398	1.57189
2856	-744.1889	-916.8287	172.6398	1.57189
2862	-737.7866	-910.0512	172.2646	1.837547
2868	-731.3266	-903.8536	172.527	1.653621
2874	-733.1839	-905.809	172.625	1.582698
2880	-728.1362	-900.9415	172.8053	1.44812
2886	-734.2535	-907.0098	172.7563	1.485323
2892	-730.4831	-903.2394	172.7563	1.485323
2898	-734.4909	-906.9972	172.5064	1.668381
2904	-732.5112	-905.2713	172.7601	1.482407
2910	-727.089	-899.5662	172.4772	1.689141
2916	-728.9492	-901.645	172.6958	1.530559
2922	-729.2914	-902.1653	172.8739	1.395201
2928	-742.1475	-914.6619	172.5144	1.662634
2934	-725.9031	-898.861	172.9579	1.32883
2940	-731.5634	-904.0032	172.4398	1.715635
2946	-729.0435	-901.8024	172.7589	1.483354
2952	-736.6346	-909.7625	173.1278	1.187779
2958	-734.4567	-906.9632	172.5065	1.6683
2964	-727.9093	-900.6803	172.771	1.474209
2970	-720.1905	-892.9266	172.7361	1.500497
2976	-724.8737	-897.2587	172.385	1.754094
2982	-719.1785	-892.094	172.9155	1.362605
2988	-723.0081	-895.9235	172.9155	1.362605
2994	-731.9792	-904.6534	172.6742	1.546532
3000	-721.3727	-894.2053	172.8326	1.427161
3006	-735.6061	-908.3749	172.7688	1.475889
3012	-727.343	-899.925	172.582	1.61403
3018	-734.4313	-906.88	172.4488	1.709295
3024	-716.8344	-889.5268	172.6924	1.533062
3030	-734.1352	-906.8599	172.7247	1.509028
3036	-723.3337	-896.0898	172.7561	1.485424
3042	-731.2441	-904.0202	172.7761	1.470335
3048	-727.0533	-899.9785	172.9252	1.354936
3054	-730.7314	-902.9783	172.2469	1.849674
3060	-735.6563	-908.512	172.8556	1.409424
3066	-739.6941	-912.6895	172.9954	1.298577
3072	-728.9525	-901.6849	172.7323	1.503326
3078	-735.0456	-907.8846	172.839	1.422306
3084	-744.9516	-917.5731	172.6214	1.585316
3090	-729.7399	-902.6305	172.8906	1.382148
3096	-732.7273	-905.3581	172.6309	1.578428
3102	-725.0384	-897.7155	172.6771	1.54443
3108	-721.0006	-893.7211	172.7205	1.512168
3114	-728.0097	-900.5643	172.5546	1.633798
3120	-728.6155	-901.773	173.1575	1.161908
3126	-725.465	-898.1443	172.6793	1.542774
3132	-741.7359	-914.5536	172.8177	1.438618
3138	-749.6716	-921.9935	172.3219	1.798007
3144	-736.0539	-908.6223	172.5684	1.623857
3150	-746.8036	-919.3327	172.5291	1.65209
3156	-733.7373	-906.449	172.7117	1.518737
3162	-738.514	-911.497	172.983	1.308624
3168	-726.9869	-899.737	172.7501	1.489996
3174	-725.7622	-898.4984	172.7362	1.500397
3180	-727.5346	-900.2217	172.6871	1.537013
3186	-731.5182	-904.2053	172.6871	1.537013
3192	-748.0704	-920.5214	172.451	1.707743
3198	-737.7328	-910.7868	173.0539	1.2504
3204	-739.9158	-912.6711	172.7553	1.486078
3210	-738.2472	-911.0025	172.7553	1.486078
3216	-722.8954	-895.7846	172.8892	1.383279
3222	-722.9751	-895.3607	172.3856	1.753693
3228	-741.0972	-913.6189	172.5217	1.657408
3234	-727.6661	-900.2543	172.5881	1.609546
3240	-728.4949	-901.2078	172.713	1.517793
3246	-731.1631	-903.8233	172.6602	1.556873
3252	-725.3488	-898.009	172.6602	1.556873
3258	-724.4778	-897.3527	172.8749	1.394453
3264	-723.3455	-896.0615	172.716	1.515484
3270	-720.883	-893.5057	172.6227	1.584394
3276	-735.0904	-907.78	172.6896	1.535181
3282	-736.3914	-909.2112	172.8197	1.437076
3288	-750.4843	-923.3279	172.8436	1.41871
3294	-756.9797	-929.8492	172.8694	1.398693
3300	-749.3609	-921.6598	172.2989	1.81395
3306	-742.9389	-915.2378	172.2989	1.81395
3312	-742.1481	-914.2306	172.0825	1.961188
3318	-735.734	-908.3759	172.6419	1.570338
3324	-733.7312	-906.6307	172.8995	1.375153
3330	-735.5861	-908.0788	172.4928	1.678085
3336	-730.8831	-903.6624	172.7793	1.467906
3342	-722.4409	-895.2401	172.7992	1.452805
3348	-731.4088	-903.834	172.4253	1.725886
3354	-729.1557	-901.8137	172.658	1.558512
3360	-738.6626	-911.3792	172.7165	1.51513
3366	-734.7182	-907.5204	172.8022	1.450474
3372	-739.0216	-911.8833	172.8617	1.404693
3378	-728.2581	-900.9113	172.6532	1.562068
3384	-736.608	-909.123	172.515	1.662235
3390	-737.344	-910.0786	172.7346	1.501593
3396	-739.1843	-911.8613	172.677	1.54449
3402	-732.9546	-905.6609	172.7064	1.522708
3408	-728.0558	-900.5364	172.4806	1.686745
