Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
840	-318.731	-481.9625	163.2315	3.977625	2.436591	3.411634	0.4413204	0.3028192	2.097036	0.9479833
846	-313.2325	-478.2292	164.9967	6.895804	2.164539	0.2754906	1.068713	0.514511	1.599454	0.7528846
852	-301.1446	-467.8387	166.6941	6.895804	1.619857	0.2821441	0.2048492	0.3118913	1.598392	0.5492779
858	-308.86	-479.1341	170.2741	1.55546	1.338294	0.1376434	0.2048492	0.634169	1.249453	0.8041575
864	-319.2815	-490.2845	171.003	2.097575	1.611644	0.09788972	0.02780057	0.07824524	0.60541	0.7142065
870	-311.4481	-478.7286	167.2805	6.300321	1.928497	0.6595787	0.02915897	0.9676893	0.0391671	0.7142065
876	-321.4474	-484.4337	162.9863	6.685948	1.653249	0.07872577	0.1465942	4.880882	0.9883329	0.7142065
882	-333.9668	-496.5818	162.615	3.6639	3.571255	0.08772714	0.09073393	4.79305	1.209492	0.532722
888	-325.6196	-488.9462	163.3266	3.446572	1.968839	1.54224	0.2417249	1.234886	4.191714	0.532722
894	-324.6702	-489.2854	164.6153	3.688259	1.774946	3.330427	1.021636	0.69744	0.8091035	0.7657941
900	-324.1514	-489.5433	165.3919	3.174626	1.987707	0.9008885	1.623017	2.158756	0.368771	0.9493318
906	-317.9082	-486.0498	168.1416	1.964279	1.398484	0.08696529	0.8760518	2.22447	0.4183883	1.145478
912	-314.265	-482.983	168.7181	1.964279	1.451239	0.643827	0.05052455	1.55434	0.2645037	1.517968
918	-315.5152	-482.653	167.1378	2.764301	1.675611	0.5067811	0.0358892	1.962031	1.089475	1.238271
924	-314.7505	-481.4785	166.728	3.399371	2.36127	0.5067811	0.07992737	1.06498	1.212002	1.251716
930	-317.6489	-485.4013	167.7523	2.557489	3.439314	0.3163489	0.08233682	0.4376128	1.027966	0.7196561
936	-328.3077	-488.9761	160.6683	8.686393	3.654444	1.499434	0.8087738	2.547978	0.6656887	0.8482882
942	-330.6815	-494.3203	163.6388	6.480171	4.135808	0.5667846	0.6804317	0.7082979	1.134966	0.6350965
948	-334.322	-499.6855	165.3635	3.487271	2.552499	0.897113	0.6216377	1.95519	0.6891328	1.091801
954	-326.6607	-493.8973	167.2366	2.519065	1.402534	1.70412	0.2704206	0.9307383	0.9704589	1.300755
960	-320.187	-487.4173	167.2303	2.519065	1.783632	0.8627439	0.5358498	1.356556	0.9704589	1.108387
966	-321.3676	-486.3493	164.9817	5.129884	1.783632	1.644595	0.3252197	0.689539	1.636968	1.159125
972	-313.9586	-478.148	164.1893	6.836829	2.447795	2.044138	0.1036021	0.7072037	0.6952143	1.224796
978	-306.6679	-475.3633	168.6954	2.735455	1.630756	0.9086352	1.136712	0.2042521	0.1270103	0.9887013
984	-315.7293	-479.516	163.7867	2.644504	2.567014	1.494574	2.58328	1.296837	0.9328579	1.093348
990	-313.0294	-478.1117	165.0824	2.04128	2.488575	2.150952	1.186094	2.128453	0.2968842	0.8969107
996	-326.8605	-491.8061	164.9456	2.642928	2.544486	2.570955	0.1784599	1.137709	0.7782137	1.50745
1002	-323.5938	-488.4587	164.8649	3.546024	1.689337	1.55629	1.339338	0.04893501	2.657666	0.9804714
1008	-304.3353	-471.8423	167.507	4.52532	1.750631	0.1810964	0.9022458	0.01236827	1.252362	0.9477379
1014	-312.8928	-478.5669	165.6741	10.34766	1.880614	0.09700242	0.3527509	0.02315061	1.205208	0.8987746
1020	-326.0103	-493.7611	167.7508	4.847959	2.039303	0.02906022	0.4922225	0.01289767	0.8970465	1.148322
1026	-341.3378	-502.961	161.6232	3.574862	1.583867	0.6978275	0.3454768	1.59248	6.004313	1.245611
1032	-324.2379	-486.3513	162.1134	6.318511	2.170405	0.2975344	0.09394827	1.59248	4.666493	0.6419546
1038	-322.3481	-489.0965	166.7484	3.364467	2.370209	1.222777	0.5319272	0.4519729	1.221387	0.5917316
1044	-329.7839	-496.3879	166.604	3.642025	2.867652	0.8617439	0.3425443	0.4519729	1.221387	0.6414143
1050	-325.2106	-489.9468	164.7361	5.680372	2.867652	0.8617439	1.316703	0.3705791	1.047858	0.7019931
1056	-320.5259	-484.5892	164.0632	2.65022	4.427927	1.040599	0.4951458	1.924501	1.107666	0.5344976
1062	-320.6673	-489.0424	168.3751	2.075962	2.210549	0.5686499	0.4067095	1.924501	0.02543383	0.5383803
1068	-320.7561	-485.9227	165.1666	5.528051	1.973848	0.3065275	0.4067095	3.262904	0.154627	0.3373874
1074	-319.9707	-483.1758	163.2051	5.841863	2.312629	1.655992	0.5185048	2.86275	0.6258743	0.4416287
1080	-319.3984	-486.0408	166.6424	2.831542	1.998658	0.3089151	0.3924961	2.86275	0.7092604	0.421046
1086	-322.231	-486.9841	164.7531	5.849195	2.090989	0.3736587	0.3526627	2.86275	0.7336348	0.4111373
1092	-320.4796	-486.4945	166.0149	5.844133	1.095551	0.4662382	0.1108388	2.86275	0.6188729	0.4111373
1098	-320.421	-487.7414	167.3204	2.426304	1.177879	0.6652699	0.2705793	2.86275	0.9296225	0.553189
1104	-316.8205	-482.6687	165.8482	3.727045	2.385341	0.6550172	0.6836656	2.013013	0.685151	0.6929443
1110	-317.5234	-482.2064	164.683	7.98964	3.212261	0.1259237	0.523716	0.03088367	1.446258	0.9428769
1116	-322.7598	-487.6317	164.8719	5.774493	2.974701	1.311424	0.2966193	0.1554639	1.338383	0.9642566
1122	-320.2584	-484.6125	164.3541	2.619774	2.438418	0.8264296	0.2526098	1.70905	3.065334	1.124168
1128	-326.073	-490.3705	164.2975	4.747087	2.236587	0.2066717	0.9566409	1.70905	1.703017	1.288982
1134	-318.4487	-483.5147	165.066	4.747087	2.308532	0.520889	0.9855675	2.196307	0.5219724	0.8147446
