Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
1278	-1729.251	-1897.263	168.0115	0.09308393	1.809055	1.018193	2.908099	0.4799589
1284	-1720.098	-1886.636	166.5379	0.08979994	2.704274	1.170871	3.512112	0.4831385
1290	-1730.65	-1898.088	167.4381	0.08979994	2.499699	0.9630285	2.973501	0.500512
1296	-1739.277	-1906.596	167.3193	0.1086949	2.16244	0.9630285	3.33939	0.4759578
1302	-1726.605	-1892.815	166.2102	0.09132112	2.850113	0.9618972	3.892248	0.359677
1308	-1724.744	-1889.134	164.3899	0.09132112	4.028492	1.119556	4.78419	0.356427
1314	-1708.88	-1876.141	167.2611	0.1591127	1.94119	0.8598745	3.597019	0.3725379
1320	-1717.294	-1882.753	165.4598	0.1318383	2.795086	0.931604	4.620623	0.3082202
1326	-1710.913	-1874.957	164.0441	0.1318383	5.333722	0.8355047	4.577944	0.2832867
1332	-1720.348	-1885.355	165.0079	0.1185074	4.130784	0.8071138	4.314199	0.2887799
1338	-1708.077	-1872.306	164.2282	0.09076224	4.130784	0.8800122	5.037795	0.2807248
1344	-1720.008	-1885.209	165.2015	0.1318126	3.510717	0.8654585	4.488564	0.3374529
1350	-1730.492	-1896.031	165.5384	0.109369	2.912254	1.015559	4.414633	0.3237916
1356	-1732.382	-1897.191	164.8083	0.1047886	4.464476	0.7779895	4.414633	0.3288558
1362	-1736.316	-1901.105	164.7888	0.09692222	3.300554	0.7779895	5.132758	0.313059
1368	-1729.171	-1893.537	164.3652	0.09692222	3.647268	1.084488	5.028206	0.313059
1374	-1716.238	-1880.984	164.7461	0.1100514	3.647268	0.7925703	4.924102	0.313059
1380	-1716.937	-1883.048	166.1104	0.2824298	3.579381	0.9155666	3.353433	0.3579603
1386	-1715.087	-1880.947	165.86	0.1085083	2.921586	0.8709433	4.248407	0.3405398
1392	-1726.144	-1891.756	165.6124	0.1430632	2.94571	0.8709433	4.414104	0.3121718
1398	-1723.389	-1889.947	166.5585	0.1430632	2.678558	0.8052043	3.750702	0.3349714
1404	-1722.275	-1888.189	165.9139	0.090706	2.704838	1.118819	4.163205	0.3987786
1410	-1727.501	-1894.647	167.1455	0.08628521	2.284644	1.00853	3.3884	0.4564124
1416	-1726.15	-1893.227	167.0771	0.08628521	2.284644	1.074608	3.394819	0.4965556
1422	-1721.489	-1889.138	167.6489	0.1027804	2.747607	0.773051	2.751239	0.5076827
1428	-1711.005	-1877.846	166.8417	0.1027804	2.745422	0.9223901	3.411296	0.4685128
1434	-1721.621	-1889.457	167.8363	0.09768306	2.069466	0.8372589	3.034312	0.4685128
1440	-1726.187	-1893.449	167.2614	0.09612176	2.740452	0.8431972	3.074154	0.4383286
1446	-1732.425	-1898.992	166.567	0.08089946	2.802187	0.92544	3.660306	0.4505496
1452	-1720.329	-1885.92	165.5912	0.08089946	4.531106	0.939635	3.527986	0.4394567
1458	-1714.417	-1880.036	165.6195	0.08089946	3.820595	0.939635	3.880707	0.3706011
1464	-1714.772	-1879.638	164.8662	0.08089946	3.418335	1.131526	4.667458	0.3355055
1470	-1712.088	-1877.008	164.9198	0.07826402	3.657761	0.9443243	4.667458	0.3548147
1476	-1727.177	-1889.951	162.774	0.06775701	4.211917	0.8335269	6.573716	0.3270911
1482	-1717.533	-1880.679	163.1463	0.06606351	4.337414	0.8415467	6.132087	0.3357389
1488	-1733.006	-1896.088	163.082	0.06606351	4.299892	0.9471478	6.132087	0.3572936
1494	-1719.842	-1884.19	164.348	0.07707161	4.508592	0.9145468	4.769901	0.3572936
1500	-1733.033	-1898.649	165.6163	0.134337	2.673058	0.8247193	4.621413	0.2825944
1506	-1734.505	-1898.613	164.1079	0.1437919	3.130753	1.00545	5.614822	0.2825944
1512	-1726.114	-1891.444	165.3302	0.1327457	3.130753	1.102708	4.316345	0.2891698
1518	-1712.95	-1878.317	165.3666	0.1327457	3.359062	0.9863341	4.274908	0.3133548
1524	-1717.12	-1882.234	165.1137	0.1130632	3.206349	0.8576318	4.712503	0.2684412
1530	-1724.608	-1888.279	163.6708	0.14092	3.868042	0.8887263	5.659027	0.2606117
1536	-1723.811	-1889.229	165.4172	0.1221434	2.836187	0.8887263	4.613262	0.2606117
1542	-1725.985	-1892.293	166.3079	0.1221434	3.085238	0.9959654	3.538973	0.3314901
1548	-1736.713	-1902.503	165.7892	0.1276502	3.597692	0.9622303	3.789896	0.3849961
1554	-1721.184	-1886.501	165.3179	0.1300246	3.291759	1.010483	4.362466	0.3274264
1560	-1717.07	-1882.435	165.3652	0.1164349	3.291759	0.9590866	4.361253	0.3107335
1566	-1715.467	-1881.295	165.8278	0.0782906	3.259972	1.072888	3.91759	0.3986502
1572	-1721.154	-1886.756	165.6024	0.1185389	3.785503	0.9700991	3.824286	0.3378016
1578	-1726.487	-1892.235	165.7479	0.10079	2.798582	0.9700991	4.372769	0.3580021
1584	-1724.008	-1889.025	165.0174	0.08656183	3.345816	1.240449	4.449933	0.3348286
