gridTag,tree_length,gain_loss,n_char,mean_mse_tree_len
tl2.50_gl0.10_pr2.50_c25,2.5,0.1,25,0.9333961777693566
tl5.00_gl0.50_c200,5,0.5,200,0.8909326806782581
tl1.00_gl1.00_pr5.00_c25,1,1,25,0.8614891126379529
tl1.50_gl1.00_pr5.00_c25,1.5,1,25,0.8605881451098054
tl5.00_gl1.00_c200,5,1,200,0.8459786085200385
tl1.50_gl0.50_pr5.00_c25,1.5,0.5,25,0.8444361030852618
tl1.00_gl1.00_pr5.00_c50,1,1,50,0.816905548806942
tl1.00_gl0.25_pr1.00_c25,1,0.25,25,0.7834076068705755
tl1.50_gl0.10_pr2.50_c50,1.5,0.1,50,0.7723058054178381
tl1.50_gl0.50_pr2.50_c25,1.5,0.5,25,0.7630883288651148
tl5.00_gl0.10_c100,5,0.1,100,0.6964479341039628
tl5.00_gl0.50_c100,5,0.5,100,0.6960341257299706
tl5.00_gl1.00_c100,5,1,100,0.6958977295826319
tl5.00_gl0.25_c100,5,0.25,100,0.695022279688647
tl2.50_gl0.10_pr1.00_c50,2.5,0.1,50,0.6672879610995122
tl1.50_gl0.10_pr5.00_c50,1.5,0.1,50,0.6598871822260153
tl5.00_gl0.10_c200,5,0.1,200,0.6517747650364668
tl1.00_gl1.00_pr1.00_c25,1,1,25,0.643029016505996
tl1.50_gl0.25_pr2.50_c25,1.5,0.25,25,0.6190947530118005
tl2.50_gl0.10_pr1.00_c25,2.5,0.1,25,0.6098379433789963
tl2.50_gl0.10_c25,2.5,0.1,25,0.49623522012716687
tl2.50_gl0.25_c25,2.5,0.25,25,0.48742949605694696
tl2.50_gl0.50_c25,2.5,0.5,25,0.48090096205136257
tl2.50_gl1.00_c25,2.5,1,25,0.4790610937264082
tl1.50_gl0.10_pr2.50_c25,1.5,0.1,25,0.47855893542613004
tl1.00_gl0.25_pr5.00_c25,1,0.25,25,0.4283919800545426
tl1.50_gl0.10_pr1.00_c25,1.5,0.1,25,0.423782534298585
tl1.50_gl0.25_pr5.00_c25,1.5,0.25,25,0.38415793738602244
tl1.00_gl0.10_pr1.00_c25,1,0.1,25,0.36967884544779656
tl1.50_gl0.25_pr1.00_c25,1.5,0.25,25,0.3601836612411529
tl1.00_gl0.25_pr2.50_c25,1,0.25,25,0.33300854583545825
tl1.00_gl0.10_pr5.00_c25,1,0.1,25,0.2986110740281467
tl1.00_gl0.10_pr2.50_c25,1,0.1,25,0.28167325129860815
tl2.50_gl0.10_c100,2.5,0.1,100,0.24141397713360468
tl2.50_gl0.50_c100,2.5,0.5,100,0.24137199179985436
tl2.50_gl1.00_c100,2.5,1,100,0.24123503639385563
tl2.50_gl0.25_c100,2.5,0.25,100,0.23243415789934682
tl2.50_gl1.00_c50,2.5,1,50,0.18085955382579746
tl2.50_gl0.25_c50,2.5,0.25,50,0.18085098989408677
tl2.50_gl0.50_c50,2.5,0.5,50,0.18082865580201066
tl2.50_gl0.10_c50,2.5,0.1,50,0.1807841281578883
tl1.50_gl0.25_c50,1.5,0.25,50,0.16603876510946414
tl1.50_gl1.00_c50,1.5,1,50,0.16603275955713165
tl1.50_gl0.50_c50,1.5,0.5,50,0.16602791362761793
tl1.50_gl0.10_c50,1.5,0.1,50,0.16598820722932756
tl1.00_gl1.00_pr2.50_c25,1,1,25,0.12788463345393652
tl1.50_gl0.25_c25,1.5,0.25,25,0.11236109220143763
tl1.50_gl0.50_c25,1.5,0.5,25,0.11224844216140245
tl1.50_gl0.10_c25,1.5,0.1,25,0.11202633528158025
tl1.50_gl1.00_c25,1.5,1,25,0.11120136275180464
tl1.00_gl0.50_c25,1,0.5,25,0.10516224888633234
tl1.00_gl0.10_c25,1,0.1,25,0.10497863970088471
tl1.00_gl0.25_c25,1,0.25,25,0.10497863970088471
tl1.50_gl0.25_c100,1.5,0.25,100,0.09775561421514313
tl1.50_gl1.00_c100,1.5,1,100,0.0976754178892037
tl1.50_gl0.10_c100,1.5,0.1,100,0.09765836981798479
tl1.50_gl0.50_c100,1.5,0.5,100,0.09765368143137669
tl1.00_gl1.00_c25,1,1,25,0.0961049749982575
tl2.50_gl0.50_c200,2.5,0.5,200,0.08733300463163797
tl2.50_gl1.00_c200,2.5,1,200,0.08659548723650319
tl2.50_gl0.10_c200,2.5,0.1,200,0.08600496946031376
tl1.00_gl0.10_c50,1,0.1,50,0.08503176741270294
tl2.50_gl0.25_c200,2.5,0.25,200,0.0831865060892085
tl1.00_gl1.00_c50,1,1,50,0.0827123186827113
tl1.00_gl0.25_c50,1,0.25,50,0.08269277964934417
tl1.00_gl0.50_c50,1,0.5,50,0.08266544986151857
