Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
1632	-378.3687	-550.4795	172.1107	0.02730717	1.923751
1638	-383.4705	-553.5739	170.1034	0.00336383	3.192708
1644	-374.1208	-546.083	171.9622	0.0197242	2.028276
1650	-389.282	-560.2927	171.0106	0.1429199	2.558586
1656	-379.8189	-550.9033	171.0844	0.1126983	2.531525
1662	-385.9335	-557.2011	171.2676	0.1941905	2.365151
1668	-381.2528	-551.8376	170.5848	0.09243046	2.850812
1674	-381.3735	-552.5436	171.1702	0.2395706	2.398119
1680	-373.9006	-545.1128	171.2122	0.2395706	2.371508
1686	-369.9888	-541.348	171.3591	0.2954705	2.242036
1692	-373.3585	-544.7877	171.4292	0.0370293	2.362351
1698	-372.425	-543.7541	171.3291	0.07999506	2.398512
1704	-373.3687	-545.0656	171.6968	0.200555	2.084117
1710	-369.3448	-540.6867	171.3419	0.5554638	2.084117
1716	-378.1193	-549.0984	170.9791	0.5677571	2.311036
1722	-378.2612	-549.5644	171.3032	0.7552266	1.977291
1728	-383.9106	-555.3344	171.4238	0.8251827	1.848307
1734	-392.8764	-563.3234	170.4471	0.3582049	2.77296
1740	-396.3732	-567.3593	170.9861	0.6539291	2.251402
1746	-382.2709	-552.8794	170.6084	1.170201	2.1618
1752	-380.4717	-551.0868	170.6151	0.7894143	2.401402
1758	-382.8853	-553.0449	170.1596	0.7673426	2.698517
1764	-377.0332	-548.8162	171.783	0.3458985	1.929954
1770	-381.942	-553.5933	171.6513	0.3909019	1.988147
1776	-380.6107	-551.7813	171.1705	0.2765744	2.374477
1782	-370.6078	-541.8372	171.2295	0.4578339	2.220971
1788	-374.3749	-546.4663	172.0914	0.03913334	1.928807
1794	-380.0065	-551.5159	171.5094	0.06448918	2.293805
1800	-369.6856	-540.7623	171.0768	0.1268118	2.527469
1806	-376.3277	-547.4782	171.1505	0.1270253	2.481275
1812	-374.8105	-546.6541	171.8437	0.5507282	1.747555
1818	-372.3046	-543.5926	171.288	0.09665186	2.413972
1824	-365.6891	-537.6394	171.9504	0.318882	1.834362
1830	-368.2219	-538.4413	170.2194	0.7150766	2.693906
1836	-371.2295	-541.8913	170.6618	1.721712	1.755142
1842	-383.2209	-554.0619	170.841	1.413306	1.844627
1848	-373.1938	-543.6325	170.4387	0.6959484	2.570312
1854	-371.602	-542.949	171.347	0.3058024	2.24321
1860	-370.3689	-541.8553	171.4864	0.2161282	2.211142
1866	-362.7585	-534.1832	171.4247	0.2777877	2.211142
1872	-373.6236	-544.8636	171.24	0.4572877	2.21454
1878	-361.7275	-533.1077	171.3802	0.2398132	2.26429
1884	-368.1316	-537.8866	169.755	0.5067309	3.100554
1890	-366.4388	-537.254	170.8151	0.4427151	2.493574
1896	-384.2787	-553.7654	169.4867	1.866143	2.434006
1902	-387.1983	-557.99	170.7918	0.4467352	2.505671
1908	-378.7934	-549.6892	170.8958	0.3031944	2.530307
1914	-372.8563	-544.116	171.2597	0.1286233	2.411629
1920	-380.8126	-552.2396	171.4269	0.3062266	2.191304
1926	-377.1052	-548.3932	171.288	0.3075735	2.279939
1932	-369.4987	-540.5199	171.0212	0.5040895	2.324832
1938	-379.9112	-549.4737	169.5625	0.7962424	3.042636
1944	-396.7536	-568.1849	171.4314	0.05546411	2.349269
1950	-386.0637	-557.3741	171.3104	0.2743581	2.286848
1956	-383.4853	-555.0789	171.5936	0.01276768	2.273002
1962	-383.7835	-554.6413	170.8579	0.3644774	2.515749
1968	-381.0043	-552.1446	171.1403	0.08205586	2.515749
1974	-373.309	-543.9186	170.6096	0.6050388	2.520563
1980	-363.1734	-533.9594	170.786	0.2084812	2.657024
1986	-373.562	-544.3658	170.8038	0.5752885	2.417445
1992	-365.8821	-537.2562	171.3741	0.07927331	2.37048
1998	-376.9643	-548.1034	171.1392	0.4096757	2.309806
2004	-373.7939	-544.6308	170.8369	0.1295758	2.674241
2010	-376.2623	-547.7787	171.5164	0.05716109	2.294023
2016	-386.5921	-558.5754	171.9833	0.009392945	2.02114
2022	-393.8473	-563.9785	170.1312	0.5583774	2.843363
2028	-377.7655	-549.4104	171.6449	0.5583774	1.879481
2034	-381.2137	-551.8107	170.5969	0.6818689	2.480467
2040	-390.025	-561.8466	171.8216	0.4975679	1.799938
2046	-402.5839	-572.8575	170.2736	1.58712	2.108202
2052	-385.2209	-556.6441	171.4232	0.1941553	2.26595
2058	-389.3258	-561.3306	172.0048	0.4853654	1.679961
2064	-393.9775	-564.6317	170.6542	0.9618782	2.266779
2070	-388.852	-560.0519	171.1999	0.9877671	1.890097
2076	-393.1733	-564.3041	171.1308	0.3582153	2.347922
2082	-380.6346	-551.7744	171.1398	0.3153777	2.369362
2088	-366.0673	-537.6063	171.5389	0.1533889	2.217716
2094	-393.436	-564.4019	170.9659	0.3267894	2.47177
2100	-385.3025	-556.7615	171.459	0.007935566	2.361911
2106	-375.7706	-546.9735	171.2029	0.2639976	2.361911
2112	-369.4718	-540.6747	171.2029	0.2639976	2.361911
2118	-370.8046	-542.4671	171.6625	0.4176905	1.962716
2124	-387.3748	-558.6111	171.2363	0.08381781	2.454559
2130	-371.5005	-542.7545	171.254	0.0660984	2.454559
2136	-388.3223	-559.634	171.3117	0.008437082	2.454559
2142	-390.9066	-561.4609	170.5544	0.8918083	2.375061
2148	-368.144	-539.2764	171.1324	0.1638644	2.469522
2154	-380.8417	-552.3533	171.5116	0.3783592	2.089003
2160	-372.5379	-543.7199	171.182	0.488375	2.231852
2166	-366.6642	-537.7357	171.0715	0.2646349	2.444495
2172	-371.5112	-542.6462	171.135	0.4494606	2.287042
2178	-358.469	-529.9884	171.5193	0.4926904	2.008261
2184	-363.8454	-534.8165	170.971	1.041002	2.008261
2190	-379.5822	-550.4935	170.9113	0.397004	2.46196
2196	-374.7503	-545.7731	171.0228	1.065158	1.957507
2202	-410.337	-580.6964	170.3594	1.276884	2.253832
2208	-397.9434	-569.4943	171.5508	0.1123543	2.236498
2214	-379.8286	-550.8999	171.0712	0.08264785	2.558398
2220	-379.2127	-549.6225	170.4098	1.296793	2.208513
2226	-373.9262	-545.0047	171.0785	0.1823113	2.491704
2232	-374.3481	-545.2525	170.9044	0.08406792	2.660698
2238	-378.6298	-549.9377	171.3079	0.7866059	1.953073
2244	-383.8029	-555.6637	171.8609	0.2898699	1.91518
