Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
1128	-256.4409	-424.64	168.1991	1.503002	2.715433	0.941313	1.321813
1134	-256.7908	-425.94	169.1491	1.296128	1.92535	1.053764	1.121011
1140	-259.5183	-428.8158	169.2975	0.7409836	1.821033	1.353568	1.284098
1146	-249.9172	-419.8061	169.8889	0.7848115	1.740466	1.048326	1.059735
1152	-262.8769	-432.6125	169.7356	0.7127959	1.953518	0.9184662	1.20772
1158	-256.1514	-425.6558	169.5044	0.7799844	1.953518	1.086071	1.20772
1164	-249.8168	-419.5246	169.7078	0.7322952	1.578743	1.535813	0.9506752
1170	-254.3498	-423.3871	169.0373	1.678427	1.698246	1.184464	0.9485049
1176	-265.8948	-434.084	168.1892	1.553145	1.787999	2.119683	0.8909749
1182	-271.1226	-437.6563	166.5338	3.987325	2.195998	1.645347	0.8692574
1188	-272.6278	-440.2897	167.6619	3.255092	1.245871	1.100185	1.512081
1194	-267.8287	-435.1236	167.2949	2.133329	3.027442	1.594815	0.8190449
1200	-265.5248	-435.5215	169.9967	0.3984442	1.468976	1.198269	1.299295
1206	-264.0019	-433.8759	169.874	0.9424119	1.295474	1.378218	1.006382
1212	-256.0408	-425.7135	169.6727	0.4472083	2.018597	0.8000053	1.468352
1218	-245.4498	-415.2808	169.831	1.17109	1.345653	1.001993	1.140084
1224	-266.8801	-435.2815	168.4015	1.884472	2.030554	0.9730815	1.289947
1230	-263.9904	-433.6912	169.7008	1.078827	1.665208	0.8552919	1.200788
1236	-263.697	-432.151	168.4541	0.7816499	2.945831	1.133888	1.395264
1242	-263.7695	-433.5511	169.7816	0.8509074	1.476601	0.8352575	1.473456
1248	-251.5331	-421.8795	170.3463	0.5566225	1.407111	0.8352575	1.29068
1254	-256.4101	-425.3843	168.9743	1.264328	1.365086	0.9064445	1.785298
1260	-255.7781	-425.5771	169.7991	0.8473508	1.215742	1.272654	1.317437
1266	-271.45	-440.4939	169.0439	1.178128	1.586004	1.541166	1.152796
1272	-254.8427	-424.3369	169.4942	0.6853947	2.011473	0.9396848	1.368156
1278	-258.9891	-428.5991	169.6099	0.7925037	1.486967	1.366003	1.225405
1284	-257.9367	-427.737	169.8003	0.864635	1.90728	0.7229398	1.228262
1290	-270.6504	-439.3348	168.6844	0.8058358	2.88216	0.8610487	1.444853
1296	-264.9229	-433.1768	168.2538	1.433612	3.209294	0.6356254	1.296235
1302	-261.4977	-430.6775	169.1798	1.071821	1.753106	0.9028314	1.519106
1308	-261.4396	-431.2699	169.8303	1.041294	1.499837	0.514208	1.519106
1314	-276.4098	-445.508	169.0982	1.502204	1.61362	0.8751501	1.379575
1320	-267.6601	-436.7791	169.119	1.317863	1.537714	0.9494725	1.495064
1326	-259.5793	-428.797	169.2177	1.317863	1.319519	0.7263356	1.735379
1332	-254.6699	-423.2432	168.5734	1.432898	2.386841	0.6455435	1.505374
1338	-254.5989	-423.4019	168.803	1.135128	1.938267	0.5787245	1.857725
1344	-256.8903	-426.5074	169.6172	1.036808	1.007507	0.7231129	1.866422
1350	-247.4406	-418.5237	171.0832	0.5594994	0.8708312	0.6416959	1.276928
1356	-256.0222	-425.9128	169.8905	0.6377759	1.587725	1.052321	1.293785
1362	-260.6749	-430.3168	169.642	1.011973	1.587725	1.296379	0.9735466
1368	-263.6049	-432.8284	169.2235	1.222159	1.508862	1.740811	0.7854417
1374	-260.3545	-429.6711	169.3166	1.222159	1.65059	1.100184	1.209832
1380	-265.9082	-434.7145	168.8062	1.860255	1.711429	0.9629566	1.209832
1386	-264.169	-432.8855	168.7165	1.191023	1.711429	0.8153173	1.853432
1392	-277.6437	-446.5114	168.8677	1.171266	2.012169	0.858441	1.543537
1398	-266.4143	-434.6489	168.2346	1.391695	2.607725	1.188946	1.241693
1404	-260.6919	-430.2135	169.5216	0.811736	1.848232	1.0799	1.24918
1410	-270.2051	-439.3867	169.1816	0.8391554	2.221111	0.9118083	1.384434
1416	-264.7046	-433.5534	168.8488	1.266118	2.175811	0.8237166	1.41089
1422	-267.643	-436.573	168.93	0.8815594	1.737854	0.6014659	2.045069
1428	-267.6554	-437.7407	170.0853	0.9232166	0.8947565	0.6027509	1.782583
1434	-269.5766	-439.3467	169.7701	0.6934819	1.392415	0.6258145	1.798966
1440	-265.7096	-434.5481	168.8385	1.092724	1.146859	0.5730422	2.348265
1446	-260.5169	-430.9821	170.4653	1.29413	0.757644	0.8560431	1.114001
1452	-257.5497	-427.1535	169.6037	0.4828522	2.468227	1.140291	0.8948073
1458	-264.0901	-432.8948	168.8047	1.475474	2.238432	1.160803	0.9302684
1464	-253.8578	-423.3608	169.503	0.791	1.869906	0.8390116	1.456202
1470	-250.8727	-419.8323	168.9595	1.677797	1.918318	0.8444451	1.162474
1476	-263.4369	-432.7321	169.2952	0.9671432	1.917855	0.8018072	1.478539
1482	-257.6935	-426.1425	168.4491	1.161436	1.917855	0.8018072	1.94075
1488	-260.6759	-429.5675	168.8916	2.302753	1.066958	0.8324206	1.44395
1494	-260.555	-429.3132	168.7581	0.5255892	3.780926	0.8335706	1.117322
1500	-263.2325	-432.6736	169.4411	0.991085	1.632912	0.8335706	1.516843
1506	-266.8094	-436.9696	170.1602	1.028609	0.9261151	0.9403283	1.380154
1512	-270.4769	-439.6186	169.1417	1.049007	2.080547	0.8636027	1.380154
1518	-266.9542	-436.1793	169.2251	1.049007	0.9815825	0.8636027	2.04469
1524	-257.6878	-426.633	168.9452	0.976998	2.215274	0.8806566	1.488228
1530	-256.677	-426.1448	169.4678	1.020537	1.61955	1.12462	1.254323
1536	-260.6515	-429.555	168.9035	1.133558	2.731762	0.8248728	1.115712
1542	-259.0693	-429.1038	170.0344	0.814634	1.5749	0.9636904	1.115712
1548	-272.8342	-442.6144	169.7801	0.814634	1.520239	1.008218	1.336109
1554	-263.8618	-433.5288	169.667	0.7906349	1.192638	1.192671	1.54087
1560	-257.0347	-426.7141	169.6794	1.001059	1.097559	0.6854704	1.812352
1566	-270.7037	-438.9731	168.2694	1.242231	2.54353	0.8910941	1.595013
1572	-254.4314	-424.4599	170.0286	0.8834594	1.204747	1.15861	1.200997
1578	-260.3736	-430.2616	169.888	0.641852	1.667055	0.8719317	1.379241
1584	-265.8484	-434.6971	168.8487	1.803473	1.254127	0.8593586	1.628712
1590	-265.8934	-435.736	169.8426	0.7337363	1.404179	1.068344	1.387196
1596	-268.0212	-437.6496	169.6285	0.5849442	1.404179	1.068344	1.644813
1602	-268.4134	-437.6408	169.2275	0.8615831	2.534918	0.9123769	1.121816
1608	-257.3732	-428.0615	170.6883	0.7912341	1.045954	0.9021882	1.061881
1614	-262.2295	-432.0398	169.8103	1.175524	0.8542285	0.8878982	1.625751
1620	-263.7125	-432.4828	168.7703	1.092536	2.207195	0.5596781	1.767839
1626	-265.2134	-434.3517	169.1384	0.9452078	2.054851	0.764793	1.552748
1632	-263.6905	-433.3372	169.6467	1.051021	1.610731	1.062894	1.134237
1638	-259.4711	-429.8228	170.3517	0.3496028	0.9721639	1.541318	1.120269
1644	-252.8281	-422.1348	169.3067	1.71541	1.066196	1.541318	0.8871096
1650	-248.7403	-420.1032	171.3628	0.6120592	0.5832764	0.8341184	1.058969
1656	-257.1674	-428.7178	171.5504	0.4993737	0.4477673	1.005873	0.8603722
1662	-265.495	-435.8443	170.3493	0.4190285	1.318566	1.440064	0.8717622
1668	-246.4044	-416.2248	169.8204	1.051296	1.568309	1.114123	0.9553315
1674	-253.79	-423.3428	169.5528	0.7042139	2.538698	0.9078346	0.9553315
1680	-265.0546	-433.9944	168.9397	0.7486895	2.694022	0.7667073	1.46823
1686	-257.0592	-425.8532	168.794	0.5452609	3.887589	0.4877243	1.313836
1692	-275.3324	-444.903	169.5706	1.02134	1.330503	0.7962959	1.635359
1698	-280.2088	-448.8441	168.6353	1.127556	1.502232	0.4972602	2.285099
1704	-271.137	-441.3791	170.2421	1.498124	0.5945766	0.749546	1.350582
1710	-265.7664	-435.2647	169.4983	1.012265	1.700029	1.118674	1.178518
1716	-265.2144	-434.9575	169.7431	0.5055903	1.768039	0.8751467	1.498358
1722	-256.4322	-427.0449	170.6127	0.6334765	1.207956	0.8204877	1.189744
1728	-252.5466	-423.1273	170.5807	0.8961195	1.175947	0.7478263	1.089569
1734	-274.2786	-443.4983	169.2197	0.8961195	2.506321	0.8417098	1.180203
1740	-268.7445	-436.3987	167.6541	2.222506	2.350657	1.35799	1.135371
1746	-256.4815	-425.9577	169.4762	1.052559	2.039465	0.8374257	1.150345
1752	-256.175	-425.9286	169.7536	0.8853141	1.455034	0.8374257	1.482615
1758	-263.7034	-431.8397	168.1363	0.9309939	3.58092	1.457928	0.8695823
1764	-255.5946	-424.9659	169.3713	0.3763595	1.507928	2.408266	0.6211704
1770	-249.5124	-418.9327	169.4202	1.174378	1.808469	1.226149	0.9000251
1776	-258.3612	-428.6113	170.2501	0.5959411	1.185998	1.08447	1.315955
1782	-246.8961	-416.628	169.732	0.590396	1.584021	1.08447	1.427696
1788	-248.7546	-418.4595	169.7048	0.7525536	2.2823	0.6919566	1.162863
1794	-254.0107	-423.2609	169.2501	1.746286	1.52622	0.8854795	1.125464
1800	-249.9715	-419.785	169.8135	0.4542011	2.011385	0.6980938	1.440919
1806	-256.756	-427.5501	170.7941	0.8081281	1.024876	0.6312589	1.213518
1812	-255.8523	-424.6165	168.7642	1.266696	2.009383	0.7718424	1.615733
1818	-244.7047	-414.4836	169.7788	0.7661083	1.534783	1.247229	1.16574
1824	-248.9867	-418.395	169.4083	0.7688286	1.912256	1.203645	1.228637
1830	-253.0186	-423.2554	170.2368	0.7721825	1.22695	1.252318	1.003927
1836	-257.3717	-426.8154	169.4437	1.063062	1.265689	0.8249276	1.720469
1842	-253.8469	-423.6619	169.8151	1.224827	1.089272	1.297518	1.066193
1848	-253.1208	-422.676	169.5552	0.9371064	1.73252	1.297518	1.002928
1854	-263.9848	-433.8918	169.907	0.7003897	1.620742	0.8539771	1.37039
1860	-267.2786	-437.5981	170.3195	0.7413844	1.006682	0.8539771	1.479829
1866	-267.7718	-437.443	169.6712	0.8098294	1.609486	0.8539771	1.479829
1872	-263.3766	-432.9391	169.5625	0.9849537	1.524314	0.8539771	1.490238
1878	-252.9276	-422.5578	169.6302	0.6800597	1.605082	1.354738	1.214448
1884	-247.4805	-417.2227	169.7423	0.6611079	1.605082	1.094846	1.349601
1890	-254.5793	-423.5195	168.9402	1.226651	1.607646	1.027938	1.587326
1896	-253.11	-422.9539	169.8439	0.7465598	1.607646	1.184305	1.120526
1902	-247.2269	-417.0888	169.862	1.221988	1.147025	1.025133	1.21831
1908	-253.5861	-423.5379	169.9518	1.221988	0.8708438	1.225284	1.205829
1914	-262.1488	-430.0814	167.9325	1.74361	2.717547	1.257566	1.089561
1920	-259.5518	-430.0186	170.4668	0.7651209	1.163405	0.8740999	1.203366
1926	-260.0203	-428.1405	168.1202	2.229442	1.097496	1.241228	1.729693
1932	-248.037	-417.3271	169.2901	1.197086	1.65219	1.091772	1.258694
1938	-259.9973	-429.8997	169.9024	0.9627891	1.092802	1.01377	1.444915
1944	-268.4577	-438.0608	169.6031	0.5485516	1.943187	1.01377	1.359381
1950	-291.8731	-460.8193	168.9462	0.3966123	1.397537	2.942719	0.6001936
1956	-295.1604	-463.7943	168.6339	0.2133478	1.733565	2.733659	0.7318742
1962	-268.3367	-438.129	169.7923	0.3289348	1.564784	1.849618	0.7640379
1968	-268.3525	-438.4503	170.0979	0.4558126	1.564784	1.527386	0.7640379
1974	-266.1179	-436.3057	170.1878	0.3194024	1.408963	1.532345	0.84893
1980	-268.3542	-438.0853	169.7311	0.9056034	1.67797	1.109103	1.091912
1986	-272.6842	-442.8121	170.1279	0.5415127	1.440043	1.444343	0.9110756
1992	-278.6812	-449.359	170.6778	0.6388023	0.5598581	1.134197	1.382381
1998	-262.6275	-431.687	169.0595	1.180276	1.413779	1.060296	1.641893
2004	-262.2708	-431.831	169.5602	1.259437	1.363368	0.8790284	1.380815
2010	-259.6843	-428.7988	169.1145	0.9021725	1.868898	1.054521	1.504949
2016	-254.787	-424.3786	169.5917	0.8139261	1.868898	0.9551286	1.277774
2022	-261.1166	-431.4627	170.3461	0.826685	1.118682	1.331776	0.858246
2028	-270.9585	-440.9497	169.9913	0.6901187	1.118682	0.9872205	1.577088
2034	-263.2957	-433.9164	170.6207	0.481028	1.276814	0.7966649	1.240813
2040	-256.1252	-425.9951	169.8699	1.280315	1.022024	1.285202	1.037899
