Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
1998	-2880.161	-3047.876	167.7146	0.2667544	4.417764
2004	-2887.716	-3055.581	167.8654	0.1159384	4.417764
2010	-2880.749	-3047.885	167.1366	0.3598248	4.690152
2016	-2893.361	-3060.045	166.6834	0.4342352	4.901579
2022	-2888.847	-3056.749	167.9018	0.1906583	4.355079
2028	-2884.525	-3052.703	168.1777	0.07681076	4.263421
2034	-2884.906	-3053.079	168.172	0.0189768	4.299387
2040	-2887.258	-3055.029	167.7713	0.2280199	4.407654
2046	-2880.881	-3048.672	167.7902	0.2280199	4.396977
2052	-2883.646	-3050.451	166.8049	0.4521547	4.823889
2058	-2879.174	-3047.053	167.8789	0.4084119	4.244846
2064	-2872.393	-3040.116	167.7231	0.1486504	4.479525
2070	-2876.609	-3044.352	167.7425	0.1901451	4.445228
2076	-2893.291	-3061.065	167.7736	0.2957135	4.368151
2082	-2896.141	-3064.029	167.8882	0.09767147	4.415224
2088	-2890.079	-3057.976	167.8969	0.1339485	4.389888
2094	-2897.899	-3065.532	167.6329	0.3759489	4.402274
2100	-2899.508	-3066.677	167.1685	0.286685	4.713239
2106	-2893.205	-3061.066	167.8608	0.286685	4.324
2112	-2890.232	-3057.594	167.3616	0.286685	4.605077
2118	-2896.994	-3064.814	167.8197	0.286685	4.347191
2124	-2881.15	-3048.404	167.2536	0.1950268	4.716895
2130	-2894.516	-3062.54	168.0239	0.3536651	4.193659
2136	-2889.305	-3056.824	167.5191	0.3681273	4.470793
2142	-2894.76	-3062.89	168.1292	0.2472074	4.194288
2148	-2887.941	-3055.798	167.8573	0.4063711	4.258237
2154	-2881.214	-3049.203	167.9888	0.136547	4.336512
2160	-2870.073	-3038.276	168.2032	0.2042249	4.176671
2166	-2876.46	-3043.974	167.5145	0.2042249	4.565561
2172	-2873.732	-3040.916	167.1841	0.343937	4.672482
2178	-2872.444	-3039.806	167.3613	0.1181976	4.699636
2184	-2885.469	-3053.053	167.5846	0.2550146	4.497634
2190	-2875.076	-3042.75	167.6737	0.2074436	4.474239
2196	-2883.272	-3051.545	168.273	0.3273821	4.066908
2202	-2879.432	-3046.876	167.4438	0.2578861	4.575136
2208	-2885.804	-3053.86	168.0559	0.3582079	4.172903
2214	-2888.887	-3055.856	166.9692	0.2961671	4.819276
2220	-2882.262	-3050.425	168.1621	0.1221495	4.246567
2226	-2890.02	-3058.154	168.1338	0.2457705	4.192499
2232	-2893.86	-3061.203	167.3432	0.2457705	4.638356
2238	-2892.554	-3060.026	167.4721	0.5172179	4.413316
2244	-2895.338	-3062.698	167.3602	0.05495967	4.735606
2250	-2896.724	-3063.93	167.2062	0.08293528	4.805993
2256	-2891.584	-3058.579	166.9958	0.2999973	4.802316
2262	-2889.905	-3057.613	167.708	0.3092082	4.397558
2268	-2888.926	-3056.495	167.5687	0.3106337	4.475242
2274	-2900.951	-3068.338	167.3871	0.3617505	4.548601
2280	-2883.987	-3051.256	167.2694	0.1786092	4.717246
2286	-2891.059	-3058.999	167.9395	0.09429399	4.38822
2292	-2890.245	-3057.969	167.7235	0.3250752	4.379885
2298	-2890.791	-3057.88	167.0893	0.3437373	4.725643
2304	-2886.41	-3053.439	167.029	0.2740624	4.79822
2310	-2900.13	-3067.713	167.5823	0.2662574	4.492586
2316	-2894.613	-3062.163	167.5503	0.1698636	4.564766
2322	-2896.289	-3063.984	167.6956	0.1628915	4.486962
2328	-2877.308	-3044.78	167.4715	0.3870361	4.486962
2334	-2879.682	-3047.176	167.4938	0.2522478	4.550228
2340	-2889.971	-3057.853	167.8819	0.1490202	4.389811
2346	-2890.724	-3058.541	167.8175	0.2134936	4.389811
2352	-2888.407	-3055.804	167.3968	0.3070251	4.573918
2358	-2892.017	-3059.58	167.5629	0.2984185	4.48539
2364	-2883.672	-3051.671	167.9981	0.1989081	4.295988
2370	-2881.843	-3049.389	167.5457	0.0910734	4.611539
2376	-2887.149	-3054.524	167.3746	0.2621387	4.611539
2382	-2892.295	-3060.101	167.8062	0.3609151	4.31289
2388	-2888.434	-3056.029	167.5952	0.1345409	4.559349
2394	-2887.038	-3054.899	167.8612	0.3245698	4.302353
2400	-2906.054	-3073.458	167.4037	0.3614863	4.539443
2406	-2891.003	-3058.445	167.4421	0.3738473	4.510902
2412	-2880.098	-3048.252	168.1541	0.1125459	4.256574
2418	-2887.209	-3055.411	168.2021	0.1659778	4.199036
2424	-2891.993	-3059.636	167.6434	0.2855542	4.447289
2430	-2885.605	-3053.585	167.9805	0.2165043	4.295991
2436	-2885.759	-3052.511	166.7517	0.3667557	4.90117
2442	-2894.496	-3061.491	166.9954	0.3969511	4.748379
2448	-2893.301	-3061.354	168.0527	0.1380245	4.299534
2454	-2888.095	-3055.26	167.1645	0.3116772	4.701514
2460	-2878.417	-3046.387	167.9698	0.2836596	4.264025
2466	-2888.259	-3056.561	168.3016	0.1063977	4.176351
2472	-2885.433	-3052.83	167.3973	0.3729773	4.536618
2478	-2900.616	-3068.378	167.762	0.2468112	4.402295
2484	-2894.24	-3061.483	167.2435	0.2874204	4.670871
