Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
1410	-265.4006	-311.3289	45.92826	0.477734	1.056357	0.1588676	0.486598	0.513402	0.9895917
1416	-268.5873	-313.588	45.00077	0.1470452	2.806335	0.2619047	0.61782	0.38218	0.8179175
1422	-275.459	-320.6301	45.17109	0.01835055	1.753562	0.2372017	0.541607	0.458393	1.36887
1428	-273.4107	-318.928	45.51728	0.01088959	1.804173	0.2174911	0.720543	0.279457	1.10219
1434	-272.9205	-318.461	45.5405	0.008718529	1.909005	0.2174911	0.590115	0.409885	1.020618
1440	-270.1324	-315.7845	45.65218	0.02588956	1.933196	0.08697678	0.747807	0.252193	1.301335
1446	-267.929	-314.0209	46.0919	0.009459885	1.377957	0.1206285	0.468521	0.531479	1.145603
1452	-270.392	-314.8526	44.46059	0.02024254	4.220973	0.1206285	0.705008	0.294992	1.357979
1458	-275.155	-319.2829	44.12792	0.01302045	4.400447	0.100784	0.81088	0.18912	1.631615
1464	-277.3108	-321.7335	44.42275	0.3721397	2.122506	0.3228536	0.602396	0.397604	1.339507
1470	-277.6219	-322.4261	44.80417	0.07620088	2.343246	0.4132373	0.826398	0.173602	0.9977803
1476	-276.4635	-321.2626	44.79909	0.5772681	2.343246	0.2011914	0.665251	0.334749	0.9977803
1482	-279.7551	-324.8477	45.09258	0.01978673	1.549301	0.3745664	0.819486	0.180514	1.286878
1488	-274.757	-320.1957	45.43869	0.00202699	2.404923	0.2503229	0.787724	0.212276	0.7141284
1494	-274.9256	-319.4653	44.53963	0.04534921	2.404923	0.2697843	0.682336	0.317664	1.48233
1500	-267.6624	-313.2769	45.61443	0.05591929	1.643412	0.1604181	0.682336	0.317664	1.225472
1506	-264.4702	-309.0947	44.62456	0.07238397	3.43692	0.2253734	0.698426	0.301574	1.118185
1512	-270.8055	-316.5949	45.78934	0.1114606	0.7054132	0.4965613	0.282311	0.717689	1.101158
1518	-268.7167	-315.5814	46.86464	0.04790122	0.7307904	0.1127888	0.322201	0.677799	1.00993
1524	-274.7556	-321.0496	46.29398	0.3107667	0.5985883	0.326968	0.266142	0.733858	0.8607011
1530	-276.64	-323.3688	46.72873	0.3248642	0.8305563	0.09240294	0.44525	0.55475	0.8150083
1536	-279.4635	-324.6025	45.13896	0.4215263	1.770264	0.2501171	0.44561	0.55439	1.007566
1542	-267.4482	-312.3097	44.86156	0.1521601	2.724688	0.2274875	0.492237	0.507763	1.094931
1548	-269.7625	-314.072	44.30941	0.4836547	2.724688	0.3160693	0.797508	0.202492	1.094931
1554	-267.3343	-312.3424	45.00805	0.1870247	1.871441	0.3062916	0.599293	0.400707	1.159982
1560	-268.0815	-312.7147	44.63314	0.1740815	2.563329	0.3062916	0.662157	0.337843	1.17013
1566	-272.7439	-317.718	44.97404	0.2595249	2.972772	0.2265563	0.57941	0.42059	0.7256316
1572	-270.9615	-315.4282	44.46668	0.3143812	2.972772	0.2420746	0.7753	0.2247	1.169371
1578	-272.0641	-317.8343	45.77022	0.07911871	1.565128	0.2070691	0.615876	0.384124	0.9762864
1584	-266.1312	-311.5833	45.45212	0.07524315	1.816233	0.1978829	0.711062	0.288938	1.147643
1590	-268.4816	-313.043	44.56138	0.1860896	3.499524	0.1888285	0.702816	0.297184	1.147643
