Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
528	-647.2653	-811.8697	164.6044	0.1951344	0.7537552	0.9087233	1.164856	0.56361	0.43639	0.340802	0.659198	4.231994
534	-640.5175	-805.2324	164.7149	0.112537	0.5776777	0.914304	1.164856	0.691558	0.308442	0.552655	0.447345	4.314289
540	-633.284	-797.9506	164.6666	0.1750148	0.7397394	0.883688	1.015586	0.669701	0.330299	0.514567	0.485433	4.314289
546	-628.4341	-792.3953	163.9613	0.1274486	0.8003992	1.05014	1.015586	0.533619	0.466381	0.547924	0.452076	4.581267
552	-633.2128	-798.2839	165.0711	0.04209591	0.5434483	0.8513076	1.144749	0.509148	0.490852	0.546263	0.453737	4.168075
558	-627.967	-791.51	163.543	0.1211291	0.8425004	0.7723516	1.144749	0.509148	0.490852	0.352562	0.647438	4.898845
564	-635.2649	-797.8854	162.6205	0.64518	0.8425004	0.9910059	0.9247279	0.693265	0.306735	0.793974	0.206026	5.259249
570	-632.863	-797.2574	164.3944	0.1347565	0.6467223	0.9910059	1.243038	0.643612	0.356388	0.537055	0.462945	4.340884
576	-636.6466	-801.05	164.4034	0.1627026	0.6793863	0.9910059	1.158725	0.606222	0.393778	0.453599	0.546401	4.340884
582	-640.416	-805.1816	164.7655	0.2085195	0.7541701	0.6071528	1.158725	0.563824	0.436176	0.448156	0.551844	4.269725
588	-644.2832	-808.1444	163.8612	0.2470517	0.7472357	0.8723526	1.142353	0.545713	0.454287	0.503575	0.496425	4.625822
594	-641.4039	-805.7277	164.3238	0.09145512	0.5383797	1.018881	0.9130073	0.640189	0.359811	0.435129	0.564871	4.625822
600	-644.4634	-809.8631	165.3997	0.2048048	0.4446795	0.8547355	1.249387	0.458765	0.541235	0.655614	0.344386	3.887584
606	-650.073	-814.5603	164.4874	0.4371142	0.7914498	1.258612	1.326132	0.394154	0.605846	0.486227	0.513773	3.827622
612	-651.7324	-815.1319	163.3995	0.0332287	0.8606053	1.005789	1.052352	0.524425	0.475575	0.606121	0.393879	4.928765
618	-653.4155	-817.5669	164.1514	0.04603478	0.7113742	0.8974366	1.052352	0.668454	0.331546	0.433955	0.566045	4.66755
624	-661.4832	-824.5603	163.0771	0.1196428	0.6717901	0.8974366	1.049324	0.597521	0.402479	0.589852	0.410148	5.227467
630	-649.3307	-812.0242	162.6935	0.1974376	0.7563272	1.028543	0.8153425	0.537175	0.462825	0.385447	0.614553	5.406543
636	-647.1635	-810.3974	163.2339	0.2019322	0.6760028	0.9826875	1.010278	0.724052	0.275948	0.514884	0.485116	5.110024
642	-636.5608	-800.147	163.5863	0.3005145	0.7694804	0.9826875	0.9481219	0.579912	0.420088	0.567334	0.432666	4.79502
648	-637.6656	-800.7943	163.1286	0.1816438	0.5576113	1.266112	0.9212549	0.684376	0.315624	0.506876	0.493124	5.106017
654	-635.3646	-798.4836	163.119	0.06504301	1.040665	0.8081307	0.9872571	0.506891	0.493109	0.504393	0.495607	5.098878
660	-639.8373	-800.6711	160.8338	0.2725122	0.6686179	1.348063	0.7290187	0.772795	0.227205	0.49136	0.50864	6.381723
666	-638.5198	-799.4746	160.9548	0.362243	0.9137871	0.918114	0.548052	0.557289	0.442711	0.428294	0.571706	6.381723
672	-634.2501	-796.4071	162.157	0.362243	0.9137871	0.7818518	0.8980447	0.557289	0.442711	0.519786	0.480214	5.602751
678	-631.3609	-794.3066	162.9457	0.03401738	0.8552818	1.232772	1.088915	0.623674	0.376326	0.317992	0.682008	5.081383
684	-630.5497	-794.1699	163.6202	0.01455077	0.7930662	0.8694674	1.076663	0.550238	0.449762	0.636865	0.363135	4.926215
690	-646.5825	-808.7989	162.2164	0.2588054	0.834665	1.341745	0.7516691	0.734887	0.265113	0.535037	0.464963	5.512365
696	-639.3006	-802.5441	163.2435	0.3231702	0.8132378	1.341745	0.8500555	0.708831	0.291169	0.405719	0.594281	4.858171
702	-638.9365	-802.2498	163.3133	0.1419366	0.7550269	0.8953447	0.9706845	0.585154	0.414846	0.643407	0.356593	5.098418
708	-632.7409	-796.252	163.5111	0.09815311	0.5811255	1.143046	0.8959313	0.496125	0.503875	0.424416	0.575584	4.977152
714	-642.7824	-805.7543	162.9719	0.5085602	0.7041307	0.7515103	1.311142	0.573081	0.426919	0.554102	0.445898	4.977152
720	-642.774	-807.4464	164.6725	0.2569789	1.013564	0.8285985	1.531674	0.542756	0.457244	0.359561	0.640439	3.837773
726	-633.6422	-796.8603	163.2181	0.3769594	0.9713168	0.8285985	0.7790205	0.542756	0.457244	0.357036	0.642964	5.03939
732	-629.6892	-793.9865	164.2972	0.2666429	0.875957	0.7660101	1.136592	0.542756	0.457244	0.437162	0.562838	4.364842
738	-638.3707	-804.2297	165.8589	0.04770121	0.4856319	0.6268942	1.136592	0.600462	0.399538	0.591853	0.408147	3.880007
744	-641.3253	-805.1871	163.8618	0.05209209	0.8450623	0.9344496	0.9463284	0.600462	0.399538	0.535054	0.464946	4.767256
750	-645.2562	-809.4921	164.2359	0.1728847	0.8763063	0.887242	1.020057	0.568225	0.431775	0.365084	0.634916	4.470977
756	-646.6705	-811.3642	164.6937	0.01756827	0.8800785	0.7661617	1.020057	0.520506	0.479494	0.362782	0.637218	4.361047
762	-643.9652	-808.1143	164.1491	0.1878773	0.778074	1.318034	0.9208399	0.571754	0.428246	0.526111	0.473889	4.361047
768	-636.6415	-801.8424	165.2009	0.1408901	0.710004	1.078041	1.076027	0.421226	0.578774	0.443536	0.556464	3.876057
