tree_length,gain_loss,n_char,M1 (Mk baseline),M2,M11,M10,M6,M7,M4,M3,M5,M9,M12,M8 (NT baseline)
5,0.25,50,0.3576274737505979,0.3645094564434308,0.3218566363910611,0.3673593765867761,0.36507338241710086,0.3513162802632938,0.3636991197419759,0.36190411998281496,0.36502328016427876,0.3670657159402583,0.3263955271212435,0.3642754316591466
5,0.25,100,0.25012047130450765,0.2555925854049757,0.2130789784044445,0.2575293697657258,0.2548674506868406,0.26251234390971256,0.25426046259731583,0.25480586209533396,0.2543624277591344,0.25282792532634,0.2151693697221361,0.25549461958678543
5,0.25,200,0.15934883666687122,0.18236792631154533,0.1436564177197499,0.1845165527252719,0.18282900260883925,0.1808890077937344,0.18140253414181734,0.18036512460471021,0.18189785608447456,0.18024578716062212,0.1713934995919238,0.18094987411073268
5,0.5,25,0.504686903576469,0.5300904246653204,0.5025010241022807,0.5284305624331951,0.5275259531773641,0.5288500603611206,0.530379609360238,0.5309221729777549,0.5275986142150348,0.5329083875798687,0.5106589573038645,0.5307562380474791
5,0.5,50,0.3576274737505979,0.3645094564434308,0.3218566363910611,0.3673593765867761,0.36507338241710086,0.3513788916851772,0.3636991197419759,0.36190411998281496,0.36502328016427876,0.3670383777981372,0.3266614216585476,0.3642754316591466
5,0.5,100,0.25012047130450765,0.2555925854049757,0.2130789784044445,0.2575293697657258,0.2548674506868406,0.26241056186762146,0.25426046259731583,0.25480586209533396,0.2543624277591344,0.25282792532634,0.21517547361123604,0.25549461958678543
5,0.5,200,0.15934883666687122,0.18236792631154533,0.1436564177197499,0.1845165527252719,0.18282900260883925,0.1809315454845947,0.18140253414181734,0.18036512460471021,0.18189785608447456,0.18015946030776625,0.14878846425539702,0.18094987411073268
5,1,25,0.504686903576469,0.5300904246653204,0.5025010241022807,0.5284305624331951,0.5275259531773641,0.528850982582217,0.530379609360238,0.5309221729777549,0.5275986142150348,0.5329083875798687,0.5003411084305758,0.5307562380474791
5,1,50,0.3576274737505979,0.3645094564434308,0.3218566363910611,0.3673593765867761,0.36507338241710086,0.3514173733149948,0.3636991197419759,0.36190411998281496,0.36502328016427876,0.3670484918652156,0.3263751363557315,0.3642754316591466
5,1,100,0.25012047130450765,0.2555925854049757,0.2130789784044445,0.2575293697657258,0.2548674506868406,0.2623233316885114,0.25426046259731583,0.25480586209533396,0.2543624277591344,0.25282792532634,0.21517370324866358,0.25549461958678543
