"scenario","modelID","metric","rho","lower","upper","p.value","n"
"nt","model5","cov_error_tree_len",-0.443260467522426,-0.568652257264012,-0.31005601872529,1.20564348636172e-10,192
"nt","model5","mean_mse_rate_loss",NA,NA,NA,NA,0
"nt","model5","cov_error_rate_loss",NA,NA,NA,NA,0
"nt","model5","cov_error_cgr",-0.489497151251844,-0.597982499650752,-0.372975665174642,5.80671833372078e-13,192
"nt","model6","mean_rhat_max",0.499916922117028,0.379925288189303,0.623829914873867,1.55574652898122e-13,192
"nt","model6","mean_ess_min",0.157837804844967,0.0222029971290462,0.29769501829324,0.028778495525696,192
"nt","model6","mean_asdsf",-0.625886729240702,-0.708636877775473,-0.523818977110404,2.8243882946866e-22,192
"nt","model6","pass_rate",0.188828812223682,0.0684946626935163,0.289042322915248,0.00871481784864932,192
"nt","model6","mse_tree_len",-0.418076730054526,-0.545158816113326,-0.289872988987424,1.60087409545286e-09,192
"nt","model6","cov_error_tree_len",-0.419035151337871,-0.5445023684751,-0.291060455008688,1.45640938490682e-09,192
"nt","model6","mean_mse_rate_loss",NA,NA,NA,NA,0
"nt","model6","cov_error_rate_loss",NA,NA,NA,NA,0
"nt","model6","cov_error_cgr",-0.419035151337871,-0.5445023684751,-0.291060455008688,1.45640938490682e-09,192
"nt","model7","mean_rhat_max",0.400203116946532,0.267802771613753,0.520884490507678,8.8533847169745e-09,192
"nt","model7","mean_ess_min",0.431747280470933,0.300079974261835,0.558671837082229,4.0377601836141e-10,192
"nt","model7","mean_asdsf",-0.518701001003717,-0.620136507617712,-0.402342561382705,1.28949135512765e-14,192
"nt","model7","pass_rate",0.43206043002838,0.315710877700097,0.549915723201661,3.90950641084204e-10,192
"nt","model7","mse_tree_len",-0.371415782763204,-0.511165112286368,-0.231614025719147,1.13392437171701e-07,192
"nt","model7","cov_error_tree_len",-0.493735968947489,-0.607336905332849,-0.367838091811485,3.4164654614175e-13,192
"nt","model7","mean_mse_rate_loss",NA,NA,NA,NA,0
"nt","model7","cov_error_rate_loss",NA,NA,NA,NA,0
"nt","model7","cov_error_cgr",-0.415676312043687,-0.529128629459311,-0.287411175243662,2.02611431354053e-09,192
"nt","model8","mean_rhat_max",0.345597211295879,0.19847315615855,0.477600428595002,9.12668782185067e-07,192
"nt","model8","mean_ess_min",0.308990383311179,0.158266872373102,0.443698187525618,1.29631113396937e-05,192
"nt","model8","mean_asdsf",-0.463237189051352,-0.576278591815174,-0.332171083406516,1.32585661617e-11,192
"nt","model8","pass_rate",0.200707941857069,0.0933491742847907,0.295566284980849,0.00524818298249294,192
"nt","model8","mse_tree_len",-0.633165369069256,-0.720302903267189,-0.531657666423885,6.60242795491989e-23,192
"nt","model8","cov_error_tree_len",-0.520433269688898,-0.625539268820344,-0.403027008384812,1.01693746077373e-14,192
"nt","model8","mean_mse_rate_loss",NA,NA,NA,NA,0
"nt","model8","cov_error_rate_loss",NA,NA,NA,NA,0
"nt","model8","cov_error_cgr",-0.429180007474879,-0.53564715584677,-0.314803723416888,5.25448269644388e-10,192
"nt","model9","mean_rhat_max",-0.602671600467136,-0.669342580243847,-0.514038277976904,3.59528211481531e-20,190
"nt","model9","mean_ess_min",0.796617197443871,0.746190699487803,0.840859203731098,5.78211638645609e-43,190
"nt","model9","mean_asdsf",0.566046005065018,0.464287371640781,0.641423872978347,1.72998410209633e-17,190
"nt","model9","pass_rate",0.797214776744339,0.742829524670263,0.841907194391589,4.52082865947346e-43,190
"nt","model9","mse_tree_len",0.00406868234415827,-0.148187303662272,0.152571669708996,0.955688911801252,189
"nt","model9","cov_error_tree_len",-0.247524322565709,-0.389031545947119,-0.104385403975529,0.000594929577691268,189
"nt","model9","mean_mse_rate_loss",NA,NA,NA,NA,0
"nt","model9","cov_error_rate_loss",NA,NA,NA,NA,0
"nt","model9","cov_error_cgr",-0.201123619677091,-0.340925913378198,-0.0576169765565922,0.00564682161596557,188
