"gridTag","tree_length","gain_loss","n_char","cov_tree_len","mse_tree_len","rate_param","cov_rate_loss","mse_rate_loss","modelID","scenario"
"tl2.50_gl0.25_c25",2.5,0.25,25,0,3.03128677435407,"gain_loss_trans",NA,NA,"model12","mk"
"tl5.00_gl0.25_c25",5,0.25,25,0,12.3790958623888,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.00_gl0.50_c25",1,0.5,25,0,0.510822799118587,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.50_gl0.50_c25",1.5,0.5,25,0,1.05333423555764,"gain_loss_trans",NA,NA,"model12","mk"
"tl2.50_gl0.50_c25",2.5,0.5,25,0,3.03070889292247,"gain_loss_trans",NA,NA,"model12","mk"
"tl5.00_gl0.50_c25",5,0.5,25,0,12.3772829711453,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.00_gl1.00_c25",1,1,25,0,0.510723586866759,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.50_gl1.00_c25",1.5,1,25,0,1.05383926261304,"gain_loss_trans",NA,NA,"model12","mk"
"tl2.50_gl1.00_c25",2.5,1,25,0,3.03027489420821,"gain_loss_trans",NA,NA,"model12","mk"
"tl5.00_gl1.00_c25",5,1,25,0,12.3877716483904,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.00_gl0.10_c50",1,0.1,50,0,0.575143410345882,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.50_gl0.10_c50",1.5,0.1,50,0,1.31693482780402,"gain_loss_trans",NA,NA,"model12","mk"
"tl2.50_gl0.10_c50",2.5,0.1,50,0,3.47712577779765,"gain_loss_trans",NA,NA,"model12","mk"
"tl5.00_gl0.10_c50",5,0.1,50,0,14.5168220742414,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.00_gl0.25_c50",1,0.25,50,0,0.575235174077028,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.50_gl0.25_c50",1.5,0.25,50,0,1.31686711318678,"gain_loss_trans",NA,NA,"model12","mk"
"tl2.50_gl0.25_c50",2.5,0.25,50,0,3.47865645442615,"gain_loss_trans",NA,NA,"model12","mk"
"tl5.00_gl0.25_c50",5,0.25,50,0,14.5170970553072,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.00_gl0.50_c50",1,0.5,50,0,0.575191458441404,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.50_gl0.50_c50",1.5,0.5,50,0,1.31686250263008,"gain_loss_trans",NA,NA,"model12","mk"
"tl2.50_gl0.50_c50",2.5,0.5,50,0,3.47785602224826,"gain_loss_trans",NA,NA,"model12","mk"
"tl5.00_gl0.50_c50",5,0.5,50,0,14.5167665426698,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.00_gl1.00_c50",1,1,50,0,0.575229860848776,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.50_gl1.00_c50",1.5,1,50,0,1.3167488056707,"gain_loss_trans",NA,NA,"model12","mk"
"tl2.50_gl1.00_c50",2.5,1,50,0,3.47770840562538,"gain_loss_trans",NA,NA,"model12","mk"
"tl5.00_gl1.00_c50",5,1,50,0,14.5184326025952,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.00_gl0.10_c100",1,0.1,100,0,0.582334404383498,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.50_gl0.10_c100",1.5,0.1,100,0,1.36212611114609,"gain_loss_trans",NA,NA,"model12","mk"
"tl2.50_gl0.10_c100",2.5,0.1,100,0,3.79794110360675,"gain_loss_trans",NA,NA,"model12","mk"
"tl5.00_gl0.10_c100",5,0.1,100,0,15.1649745314324,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.00_gl0.25_c100",1,0.25,100,0,0.582319298467034,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.50_gl0.25_c100",1.5,0.25,100,0,1.36207129153975,"gain_loss_trans",NA,NA,"model12","mk"
"tl2.50_gl0.25_c100",2.5,0.25,100,0,3.7981184107243,"gain_loss_trans",NA,NA,"model12","mk"
"tl5.00_gl0.25_c100",5,0.25,100,0,15.1652123715794,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.00_gl0.50_c100",1,0.5,100,0,0.582366261296103,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.50_gl0.50_c100",1.5,0.5,100,0,1.36204373301942,"gain_loss_trans",NA,NA,"model12","mk"
"tl2.50_gl0.50_c100",2.5,0.5,100,0,3.79787255816761,"gain_loss_trans",NA,NA,"model12","mk"
"tl5.00_gl0.50_c100",5,0.5,100,0,15.1655005718563,"gain_loss_trans",NA,NA,"model12","mk"
"tl1.00_gl1.00_c100",1,1,100,0,0.582366121623482,"gain_loss_trans",NA,NA,"model12","mk"
